"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Photocopy+DAI/data=!4m7!3m6!1s0x2e68e7003de73633:0x7a31401b14874a3a!8m2!3d-6.8654545!4d107.5875011!16s%2Fg%2F11ycxrn3h8!19sChIJMzbnPQDnaC4ROkqHFBtAMXo?authuser=0&hl=id&rclk=1","Photocopy DAI","5,0","(2)","Toko Fotokopi","·","4HMQ+R26","","","","0896-1953-6231","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Insyaallah terus berkembang"""
"https://www.google.com/maps/place/Sinergy+Foto+Copy/data=!4m7!3m6!1s0x2e68e6b8fd82574f:0x606e9034f07ed9d8!8m2!3d-6.8596948!4d107.5948855!16s%2Fg%2F11b6d61kq7!19sChIJT1eC_bjmaC4R2Nl-8DSQbmA?authuser=0&hl=id&rclk=1","Sinergy Foto Copy","4,5","(6)","Toko Fotokopi","·","4HRV+4XC, Jl. Dr. Setiabudi","Tutup","· Buka Sel pukul 07.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pokoknya debest cepet pengerjaanya."""
"https://www.google.com/maps/place/Cheqlis+Digital+Copy+Center/data=!4m7!3m6!1s0x2e68e69ca19422c9:0xccb248b412ead002!8m2!3d-6.8765529!4d107.5793012!16s%2Fg%2F11c5s6bh0r!19sChIJySKUoZzmaC4RAtDqErRIssw?authuser=0&hl=id&rclk=1","Cheqlis Digital Copy Center","4,6","(19)","Toko Fotokopi","·","·","Buka","· Tutup pukul 00.00","Jl. Sarirasa No.1 Blok 5","0812-8441-6003","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lebih murah dan bagus dari"
"https://www.google.com/maps/place/Fotocopy+dan+Print+Online+24+Jam/data=!4m7!3m6!1s0x2e68e7be93368b69:0x98247533747dec53!8m2!3d-6.888566!4d107.594216!16s%2Fg%2F11jnc_89yb!19sChIJaYs2k77naC4RU-x9dDN1JJg?authuser=0&hl=id&rclk=1","Fotocopy dan Print Online 24 Jam","4,9","(28)","Toko Fotokopi","·","Gg. Pak Elas No.11","Buka 24 jam","","·","0812-9685-3619","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""admin respon cepat, buka 24 jam, hasil bagus, recommended"""
"https://www.google.com/maps/place/Falaha+Copy+Center/data=!4m7!3m6!1s0x2e68e73aa2001159:0xf434947659abd7f3!8m2!3d-6.8644839!4d107.5915267!16s%2Fg%2F11gtz5d8n3!19sChIJWREAojrnaC4R89erWXaUNPQ?authuser=0&hl=id&rclk=1","Falaha Copy Center","","","Toko Fotokopi","·","Jl. Gegerkalong Tengah No.86","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0858-6071-2343","","Rute","",""
"https://www.google.com/maps/place/Alan+Jaya+Photo+Copy/data=!4m7!3m6!1s0x2e68e6bc31c31e85:0xab62f56ede162134!8m2!3d-6.8642299!4d107.591084!16s%2Fg%2F11g6l_mg_n!19sChIJhR7DMbzmaC4RNCEW3m71Yqs?authuser=0&hl=id&rclk=1","Alan Jaya Photo Copy","4,7","(3)","Toko Fotokopi","·","Jl. Gegerkalong Girang No.49","","","","","","Rute","",""
"https://www.google.com/maps/place/PHOTOCOPY+SALUYU/data=!4m7!3m6!1s0x2e68e7d7afa41e51:0xf883f195b2f97eb7!8m2!3d-6.8588252!4d107.5957028!16s%2Fg%2F11lcbxxvmv!19sChIJUR6kr9fnaC4Rt375spXxg_g?authuser=0&hl=id&rclk=1","PHOTOCOPY SALUYU","5,0","(1)","Toko Fotokopi","·","Jl. Sersan Surip No.25/169A","Tutup","· Buka Sel pukul 07.00","·","0813-1027-6313","","Rute","",""
"https://www.google.com/maps/place/Fotocopy+kopma+unpas+setiabudhi/data=!4m7!3m6!1s0x2e68e7016acae923:0x62c185bc1473e897!8m2!3d-6.866156!4d107.5925702!16s%2Fg%2F11j0h9fm_x!19sChIJI-nKagHnaC4Rl-hzFLyFwWI?authuser=0&hl=id&rclk=1","Fotocopy kopma unpas setiabudhi","","","Toko Fotokopi","·","Jl. Dr. Setiabudi No.193","Tutup","· Buka Sel pukul 08.00","·","0857-1983-1750","","Rute","",""
"https://www.google.com/maps/place/Juan+Fotocopy/data=!4m7!3m6!1s0x2e68e79c8ca44833:0xd606458d7e7fcec8!8m2!3d-6.8593231!4d107.5952957!16s%2Fg%2F11hz8h_yh_!19sChIJM0ikjJznaC4RyM5_fo1FBtY?authuser=0&hl=id&rclk=1","Juan Fotocopy","5,0","(3)","Toko Fotokopi","·","Jl. Dr. Setiabudi Ruko Terminal Ledeng No.34","Tutup","· Buka Sel pukul 07.30","·","0812-2049-4494","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi di Terminal Ledeng, pelayanannya oke."""
"https://www.google.com/maps/place/3R+Photocopy+%26+Stempel+Flash/data=!4m7!3m6!1s0x2e68e7a80dce0d4f:0xac0e8382b0d2b29!8m2!3d-6.8689535!4d107.5882369!16s%2Fg%2F11h41_wd4l!19sChIJTw3ODajnaC4RKSsNKzjowAo?authuser=0&hl=id&rclk=1","3R Photocopy & Stempel Flash","5,0","(2)","Toko Fotokopi","·","Jl. Gegerkalong Hilir No.86","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0857-2137-8291","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya bagus dan nyaman"""
