"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Terminal+Damri+Leuwipanjang/data=!4m7!3m6!1s0x2e68e93b8e62cc45:0x48a01f9a0e54247b!8m2!3d-6.9460604!4d107.5946567!16s%2Fg%2F11fd6m5dkw!19sChIJRcxijjvpaC4ReyRUDpofoEg?authuser=0&hl=id&rclk=1","Terminal Damri Leuwipanjang","Agen Tiket Bus","","Rute","·","·"
"https://www.google.com/maps/place/Bandung/data=!4m7!3m6!1s0x2e68e64015f4c103:0xb4495a71136f6db9!8m2!3d-6.906756!4d107.599055!16s%2Fg%2F11t066s3nl!19sChIJA8H0FUDmaC4RuW1vE3FaSbQ?authuser=0&hl=id&rclk=1","Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Simpang+Sumur+Bandung/data=!4m7!3m6!1s0x2e68e6f8f446e317:0x46b2c71f9971eb69!8m2!3d-6.8854!4d107.6129!16s%2Fg%2F11s7_51y0h!19sChIJF-NG9PjmaC4RaetxmR_HskY?authuser=0&hl=id&rclk=1","Simpang Sumur Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMAN+6+Bandung/data=!4m7!3m6!1s0x2e68e63e27879243:0xfc11cfbb9874eb56!8m2!3d-6.91136!4d107.59784!16s%2Fg%2F11c67wxvv4!19sChIJQ5KHJz7maC4RVut0mLvPEfw?authuser=0&hl=id&rclk=1","SMAN 6 Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Taman+Lalu+Lintas+Kota+Bandung/data=!4m7!3m6!1s0x2e68e636cb650b49:0x984094cd43ca19f!8m2!3d-6.91247!4d107.61386!16s%2Fg%2F1jkxg862d!19sChIJSQtlyzbmaC4Rn6E81EwJhAk?authuser=0&hl=id&rclk=1","Taman Lalu Lintas Kota Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Pasteur+Square/data=!4m7!3m6!1s0x2e68e664b33c284d:0xea935bba1a1cb6aa!8m2!3d-6.89394!4d107.5861!16s%2Fg%2F11lp6501j0!19sChIJTSg8s2TmaC4RqrYcGrpbk-o?authuser=0&hl=id&rclk=1","Bandung Pasteur Square","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Ciwastra/data=!4m7!3m6!1s0x2e68e8299b4644c9:0xc9288b500a6162b4!8m2!3d-6.96121!4d107.66645!16s%2Fg%2F11c6rwrtp6!19sChIJyURGmynoaC4RtGJhClCLKMk?authuser=0&hl=id&rclk=1","Terminal Ciwastra","Terminal Bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+D%27Botanica+Mall/data=!4m7!3m6!1s0x2e68e67ca9d653e9:0xfe8bfe8c581279d5!8m2!3d-6.89309!4d107.5855!16s%2Fg%2F11m7109v8r!19sChIJ6VPWqXzmaC4R1XkSWIz-i_4?authuser=0&hl=id&rclk=1","Bandung D'Botanica Mall","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Shelter+TMB+-+Surya+Sumantri+02/data=!4m7!3m6!1s0x2e68e68418022e11:0xfbdcf7c0a1bab6de!8m2!3d-6.882211!4d107.5815383!16s%2Fg%2F11b607z1t0!19sChIJES4CGITmaC4R3ra6ocD33Ps?authuser=0&hl=id&rclk=1","Shelter TMB - Surya Sumantri 02","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/JPO+YAS+Bandung/data=!4m7!3m6!1s0x2e68e7960a2a1f7b:0xf2bee5e2d989e757!8m2!3d-6.90101!4d107.64634!16s%2Fg%2F1jkyhv3hb!19sChIJex8qCpbnaC4RV-eJ2eLlvvI?authuser=0&hl=id&rclk=1","JPO YAS Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Halte/data=!4m7!3m6!1s0x2e68e63c8c445687:0x497683ff21e909a7!8m2!3d-6.9162!4d107.60195!16s%2Fg%2F1pzsjnqj6!19sChIJh1ZEjDzmaC4RpwnpIf-Ddkk?authuser=0&hl=id&rclk=1","Stasiun Halte","Terminal Bus","","Rute","·","Terminal Stasiun Hall, JL. Suniaraja, Ciroyom, 40182 Bandung, Indonesia"
"https://www.google.com/maps/place/Jalan+Sunda/data=!4m7!3m6!1s0x2e68e62d9ad2fbab:0x434c0380f9ead3f7!8m2!3d-6.9179392!4d107.61801!16s%2Fg%2F1jkz4vrv2!19sChIJq_vSmi3maC4R99Pq-YADTEM?authuser=0&hl=id&rclk=1","Jalan Sunda","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Indah+Plaza/data=!4m7!3m6!1s0x2e68e637ecd316b3:0x35189ad6fbfec1ce!8m2!3d-6.90887!4d107.61065!16s%2Fg%2F11td4jsmnl!19sChIJsxbT7DfmaC4RzsH--9aaGDU?authuser=0&hl=id&rclk=1","Bandung Indah Plaza","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMAN+4+Bandung/data=!4m7!3m6!1s0x2e68e622a2feded1:0xd078c8b7b3f60d04!8m2!3d-6.9193732!4d107.5984191!16s%2Fg%2F11g6nlr6st!19sChIJ0d7-oiLmaC4RBA32s7fIeNA?authuser=0&hl=id&rclk=1","SMAN 4 Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Cimahi/data=!4m7!3m6!1s0x2e68e45022bc48e3:0x69558773402dcfed!8m2!3d-6.880787!4d107.53802!16s%2Fg%2F11dxhfcc66!19sChIJ40i8IlDkaC4R7c8tQHOHVWk?authuser=0&hl=id&rclk=1","Terminal Cimahi","Terminal Bus","","Rute","",""
"https://www.google.com/maps/place/Istana+Plaza/data=!4m7!3m6!1s0x2e68e66a8736b9df:0xef0d5322d51e1078!8m2!3d-6.9049885!4d107.5975004!16s%2Fg%2F11g6rg45kw!19sChIJ37k2h2rmaC4ReBAe1SJTDe8?authuser=0&hl=id&rclk=1","Istana Plaza","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/DPRD+Kota+Bandung/data=!4m7!3m6!1s0x2e68e7c56a0a69b9:0x226fa82e6962a0e6!8m2!3d-6.91572!4d107.63457!16s%2Fg%2F11hd8hq9r0!19sChIJuWkKasXnaC4R5qBiaS6obyI?authuser=0&hl=id&rclk=1","DPRD Kota Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Sudirman+3/data=!4m7!3m6!1s0x2e68e5e0c50040db:0x4174cfc8faf615b4!8m2!3d-6.91139!4d107.56949!16s%2Fg%2F1jkxj36kc!19sChIJ20AAxeDlaC4RtBX2-sjPdEE?authuser=0&hl=id&rclk=1","Sudirman 3","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Hotel+Aryaduta+Bandung/data=!4m7!3m6!1s0x2e68e637aeb62ac9:0x8be38d371f8fe8d3!8m2!3d-6.90971!4d107.61217!16s%2Fg%2F11hd8hrzbx!19sChIJySq2rjfmaC4R0-iPHzeN44s?authuser=0&hl=id&rclk=1","Hotel Aryaduta Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Pool+Pasteur+Bandung/data=!4m7!3m6!1s0x2e68e67cabb42d13:0xaca2dd07af973b65!8m2!3d-6.89291!4d107.585756!16s%2Fg%2F11z42f6_t6!19sChIJEy20q3zmaC4RZTuXrwfdoqw?authuser=0&hl=id&rclk=1","Pool Pasteur Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Moxy+Bandung/data=!4m7!3m6!1s0x2e68e64f0384964f:0x221b0248d77df267!8m2!3d-6.90033!4d107.61237!16s%2Fg%2F11f5g03dsz!19sChIJT5aEA0_maC4RZ_J910gCGyI?authuser=0&hl=id&rclk=1","Moxy Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Seberang+TK+Kartika+X-2+Jalan+Turangga/data=!4m7!3m6!1s0x2e68e877c933d18b:0xfb744538dbfc229d!8m2!3d-6.92792!4d107.63593!16s%2Fg%2F11hd8hsm1w!19sChIJi9EzyXfoaC4RnSL82zhFdPs?authuser=0&hl=id&rclk=1","Seberang TK Kartika X-2 Jalan Turangga","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Alun+Alun+Bandung/data=!4m7!3m6!1s0x2e68e625b075becd:0x8de79f36b6423fe8!8m2!3d-6.9212939!4d107.6071068!16s%2Fg%2F11g696hs89!19sChIJzb51sCXmaC4R6D9Ctjaf540?authuser=0&hl=id&rclk=1","Alun Alun Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Pengadilan+Negeri+Bandung/data=!4m7!3m6!1s0x2e68e7b54c208457:0x7529eca33f23717b!8m2!3d-6.90629!4d107.6219!16s%2Fg%2F11v3vr8vt9!19sChIJV4QgTLXnaC4Re3EjP6PsKXU?authuser=0&hl=id&rclk=1","Pengadilan Negeri Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMPN+16+Bandung/data=!4m7!3m6!1s0x2e68e7bdb4a3a099:0x7713d27f7dc3c87c!8m2!3d-6.899663!4d107.642325!16s%2Fg%2F11gh1nfw1h!19sChIJmaCjtL3naC4RfMjDfX_SE3c?authuser=0&hl=id&rclk=1","SMPN 16 Bandung","Perhentian bus","","Rute","",""
