"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","ah5Ghc 3","Jn12ke src"
"https://www.google.com/maps/place/Warteg+Nurjannah/data=!4m7!3m6!1s0x2e68e698a44c419f:0x25713a7a1c6da0ba!8m2!3d-6.8679417!4d107.5810562!16s%2Fg%2F11hd6n6rxw!19sChIJn0FMpJjmaC4RuqBtHHo6cSU?authuser=0&hl=id&rclk=1","Warteg Nurjannah","4,5","(22)","·","Rp 1–25.000","Tegal","·","","·","Jl. Gegerkalong Hilir No.168A","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHE3K10OjxCky2TFCAt9BTEE-rwR0n9jEKeUygefeGsjHCl4vs3NjftyB3V-0n6ciGU5azUkdomh80DTs4Mr7X_OrDWkrOK4h03UAHApcMI94uedXK5x7Rx2l57K-4RYYNmSCsoMHa7L8AK=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/WARTEG+SELERA/data=!4m7!3m6!1s0x2e68e763b5d75605:0x61017209a83d17f4!8m2!3d-6.865128!4d107.5914205!16s%2Fg%2F11yjm15zpv!19sChIJBVbXtWPnaC4R9Bc9qAlyAWE?authuser=0&hl=id&rclk=1","WARTEG SELERA","5,0","(3)","","","Restoran","·","","·","Jl. Gegerkalong Tengah No.81","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFij-pFgIe017bw3n-3TB2JBYnWwUuzqb1zaK45441w4sR93zg84envM5Sh4utkyjZUti4A8ipn68T0yNMI0IWCg1jCml1cUVQep-8jAivX5K3aUcOsS0Lxle2Xr65LNOefTDSFBkG0Brlf=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warung+Makan+Gudeg+PLO/data=!4m7!3m6!1s0x2e68e69da908cbe7:0x700d3ea881247989!8m2!3d-6.8752432!4d107.5767898!16s%2Fg%2F11c6stf5gk!19sChIJ58sIqZ3maC4RiXkkgag-DXA?authuser=0&hl=id&rclk=1","Warung Makan Gudeg PLO","4,6","(280)","·","Rp 1–25.000","Nasi","·","","·","Jl. Sariasih No.96","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGKJHBsYjGZMcj38qnYRyen7oWgZG3m5_TeAsbkJlykYyPqTjAq2LxyWo0sdHyJBCnUlkePKB0CZmXghq1Pm0ECMX2WKjmWnAXALwBzEUdwMvao2JCT_j3eR7vTpO3rg710slv=w80-h142-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Warteg+Tegal+Abadi+Murni+-+Sadang+Serang/data=!4m7!3m6!1s0x2e68e7b28cf33a51:0x421b3d890d9f763e!8m2!3d-6.8978677!4d107.6239613!16s%2Fg%2F11c7t44_kt!19sChIJUTrzjLLnaC4RPnafDYk9G0I?authuser=0&hl=id&rclk=1","Warteg Tegal Abadi Murni - Sadang Serang","4,5","(120)","·","Rp 1–25.000","Tegal","·","","4J2F+VH4, Jl. Gagak","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRUQACu8NtZWK9LeaebLd7JQ-53bggatatrfWYY64cT15ZhtZyeWl3DZgi8_Y6Tm55Ba3AGphso0rbpMwR1RYaFy7GLo0oZpM55CBy9EsdoJBW6RViV_GX2s-jZuyFNaYFEhkoNQ=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Aero/data=!4m7!3m6!1s0x2e68e6f92645939b:0x8f6ab3f050aecee0!8m2!3d-6.8840508!4d107.614743!16s%2Fg%2F11bbw_hkj6!19sChIJm5NFJvnmaC4R4M6uUPCzao8?authuser=0&hl=id&rclk=1","Warteg Aero","4,4","(542)","·","Rp 1–25.000","Tegal","·","","·","Jl. Tubagus Ismail No.2 C","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnrVmx342B3IBStY862pd2VJ2-dwLI3QPONZDHdqdHO4RvGsG1qXYeSZCGgTTP3bhlJGYsdzftt6PBo0HNJWoVX6OMsB8jw2oBGL9ugIA-zWa6ZN-MX5JDK70-fvWj92v3xr0=w199-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Wisata+jaya/data=!4m7!3m6!1s0x2e68e625da9e3e6b:0x93a44a8df15a11dc!8m2!3d-6.8955676!4d107.6036489!16s%2Fg%2F11c71gfz6f!19sChIJaz6e2iXmaC4R3BFa8Y1KpJM?authuser=0&hl=id&rclk=1","Warteg Wisata jaya","4,7","(50)","·","Rp 1–25.000","Tegal","·","","·","Jl. Prof. Eyckman No.2a","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBRsdNSiUpOP0yNPnC0jfLdgqab27EeKdYKZ5zazbk7gJKwvmoZDngUDiMlihT5i1DfBiiX7JLqgCn55RqOareqxB3em1CezOS8az4Wv-swxQtgHaKrnQl8LW9KqCyUYN-hp6U9nLt_5hz=w163-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Sederhana/data=!4m7!3m6!1s0x2e68e6b8fe14ad55:0xa4e05f5cf9206c27!8m2!3d-6.8595579!4d107.5950152!16s%2Fg%2F11b6d1ldd3!19sChIJVa0U_rjmaC4RJ2wg-Vxf4KQ?authuser=0&hl=id&rclk=1","Warteg Sederhana","4,3","(36)","","","Tegal","·","","·","4HRW+52C, Jl. Dr. Setiabudi","Segera tutup","· 22.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHoVw48CckBfBFeCfxs2fwmO2TsY3QjLPEtf86z1azs6HMwfyxtrfA_rpAnHNRJWHRRKs7IdPfP0EBuwAxlideZawSTkB6EmesX4LzhqDOIhWLD3tsau-UWC7ZH8aTpHAwnzM-Cl5-B4fFzTMDPg_b_yPkFlTkrfnrF9soUXlc5vYVkB2qhkYOKWSTRBxXzr7Imk7A=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Abadi/data=!4m7!3m6!1s0x2e68e68798416d41:0xa95e56a111611e08!8m2!3d-6.8867556!4d107.5837151!16s%2Fg%2F11b5z8gkjk!19sChIJQW1BmIfmaC4RCB5hEaFWXqk?authuser=0&hl=id&rclk=1","Warteg Abadi","4,5","(234)","·","Rp 1–25.000","Tegal","·","","·","Jl. Babakan Jeruk 1 No.154","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJhwlJDef5NmavqMYX1pSOSTxlDGRs9tehqRsAtpD3dg6QXvEmuaI8XdhVPlTXajGGjbvTnwcA_RGUUQdOQjMekpN3TW98Dg6BI9aL-VPK1PucGWkrtmG3pBIDrIrGGkZw1H8=w163-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Amalia/data=!4m7!3m6!1s0x2e68e78ed6ee3797:0xb5a752d601894fd8!8m2!3d-6.8635113!4d107.5896684!16s%2Fg%2F11gk3wpfjr!19sChIJlzfu1o7naC4R2E-JAdZSp7U?authuser=0&hl=id&rclk=1","Warteg Amalia","5,0","(3)","·","Rp 1–25.000","Tegal","·","","·","Jl. Gegerkalong Girang No.39","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcUdi_bpGr629LBtMF24ZIOYkHEp_WzpjaQJr-A7Fol3SSCXFN8URd_ZnMGEuMtvjJ08Op6Icy8COQNn-3guYeHZpuJDYn2htAxQ2tNEdHqB5fdGN3z7QMuu3s6nkEOILP1CNvfA=w80-h177-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+%22Cempaka%22/data=!4m7!3m6!1s0x2e68e69657f10f97:0xc49109ef17513818!8m2!3d-6.8698732!4d107.5906641!16s%2Fg%2F11hb9p1zls!19sChIJlw_xV5bmaC4RGDhRF-8JkcQ?authuser=0&hl=id&rclk=1","Warteg ""Cempaka""","4,5","(4)","","","Tegal","·","","·","Jl. Gegerkalong Hilir No.46","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHi72XYIhD4YsA7QSdZOLrxppbz_v0w9k9S7aTrVrvgztj_r9R2P4_5qz8RCBpMw6zauHIxFb25sw3MkEEpF5-180UY0sZ7TIveKk7VleQ5Ih39LTj9qNT4vnM_CChyC6DmrPMp=w80-h106-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
