"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Pro+Gym/data=!4m7!3m6!1s0x2e6ee278e3a1635b:0x6c13561f78fb3ffa!8m2!3d-6.7249813!4d108.5620407!16s%2Fg%2F11fzf6rsfz!19sChIJW2Oh43jibi4R-j_7eB9WE2w?authuser=0&hl=id&rclk=1","Pro Gym","4,5","(146)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA6lv_qafwtUSzObDCfygEwS1FROgvC23rKr4NonWL1tau-LTzdjMBIUElkGgbYwHsUIimmmgdqFq3oh49Cv0UI5nOQFp7sbi--TmONDjr_1Br2zUCeotkfbCAwoOiGWCugnDF=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","dengan peralatan lengkap""","","Jl. Lawanggada No.49"
"https://www.google.com/maps/place/Hercules+Gym/data=!4m7!3m6!1s0x2e6f1fe22955244f:0xd0dbd6d8ce7f92b7!8m2!3d-6.7584743!4d108.4933367!16s%2Fg%2F11m71rj5_8!19sChIJTyRVKeIfby4Rt5J_ztjW29A?authuser=0&hl=id&rclk=1","Hercules Gym","4,8","(22)","Tempat Fitness","·","Jl. Pangeran Cakrabuana Perumahan Grand Duta Ruko No. A12","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZDMvQD6pQgi_JpaJQJ89HFMuujvX7y4jRjCB4n-B56MyTBXZija-8nGXh5f9lMiA0icydgNxqXLy3rUquxgeBT1WajnXf_4_SENWKyK3K_g5-BzPbbwvwUk1mUr7OFa2meFq-i4dgCQs=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","yang nyaman dengan fasilitas berkelas.""","",""
"https://www.google.com/maps/place/Fitness+Center+%27Sportif%27/data=!4m7!3m6!1s0x2e6f1da1814f4055:0xba08804d58673fe3!8m2!3d-6.7501666!4d108.5643948!16s%2Fg%2F11bc7n_q9t!19sChIJVUBPgaEdby4R4z9nWE2ACLo?authuser=0&hl=id&rclk=1","Fitness Center 'Sportif'","4,5","(65)","Tempat Fitness","·","Jl. GN Lawu IV no 142","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_yDe8ylzOz0SR-OSEZoCd1rOUeVs0XPAHBjokYuQiG-6vw6EBr3zMcHQ9vSvVKvjRXvqNqU725DBkTOvINucolqc8r8al4MJXAHQFpKvxq-ENtGKQGXgiDNyoQdw8CoW9m-Rp=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg lumayan luas menurutku""","",""
"https://www.google.com/maps/place/Body+Fit+studio/data=!4m7!3m6!1s0x2e6ee3ef7b01eb69:0xe36a47a0a7c34d69!8m2!3d-6.7352706!4d108.5539478!16s%2Fg%2F11j22v4vjr!19sChIJaesBe-_jbi4RaU3Dp6BHauM?authuser=0&hl=id&rclk=1","Body Fit studio","5,0","(11)","Pusat kebugaran","·","Jl. Geriliawan No.15","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBgF2RZVBJni20482HhPI1I0Cu_Egx9gmN91F1Pa6FsTboHEgiVrni9YpBSzFTbcChjRLGay7pPnB__-opvV0T0iyqkxFpi2XzuaiPELx7IlHUv-rZ9VRQvqS6ObehaEelBqBI0A=w167-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","latihan yang mantap!!""","",""
"https://www.google.com/maps/place/Alana+Studio+Cirebon/data=!4m7!3m6!1s0x2e6f1d000d285825:0x89e36528a27dd20a!8m2!3d-6.737517!4d108.549265!16s%2Fg%2F11yj4pg3st!19sChIJJVgoDQAdby4RCtJ9oihl44k?authuser=0&hl=id&rclk=1","Alana Studio Cirebon","4,8","(32)","Studio Pilates","·","Jl. Kesambi No.134","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvwCZfBAFUmkGEfl7_bFF9GdsyURCJCshghScsA-cEASAcCicHtKFpMkO0mfIQ3U_JXoDCon1C0Bni5f6Qcnz_CqmMR64x565vcgkIHNm4h-83QgnHW_y0XVGkcZaPQ4auz33GnYoZ6og1=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya nyaman, bersih, coach nya ramah,pelayanan ramah""","","","",""
"https://www.google.com/maps/place/SOS+ALDI/data=!4m7!3m6!1s0x2e6f1d317b1b2177:0x9804eea23915740f!8m2!3d-6.7474215!4d108.5597107!16s%2Fg%2F11f7r4zyyz!19sChIJdyEbezEdby4RD3QVOaLuBJg?authuser=0&hl=id&rclk=1","SOS ALDI","5,0","(2)","Tempat Fitness","·","7H35+2VP, Jl. Gn. Guntur D 7","Buka","· Tutup pukul 21.45","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0dxfyc0hb3Vif-0l1XctiQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=56.319233&pitch=0&thumbfov=100","","","","","",""
"https://www.google.com/maps/place/Top+Fitness+Studio+Senam/data=!4m7!3m6!1s0x2e6f1d80af0b997d:0xb95cfb00b165c6c1!8m2!3d-6.7278206!4d108.5646954!16s%2Fg%2F11bzrj46h_!19sChIJfZkLr4Adby4RwcZlsQD7XLk?authuser=0&hl=id&rclk=1","Top Fitness Studio Senam","4,5","(128)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIWiUCkwwsb_jOShC10v04cPIpvXnPzOeQMu5Y34SmcIU0gXJ9UVS3ehzIW7tc0jDwzSGnoczrdfLOCb69BMFYKTsvIiKSFprLo5KvltsuSW2H_lx5LKXz98hxCK01FrgmMgZI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sekali visit 25k (non member)
Member 275k
PT nya baik2, komunikatif.""","","","","Jl. Kutagara No.6C"
"https://www.google.com/maps/place/Star+Sports+Club+and+Gym/data=!4m7!3m6!1s0x2e6ee264ab1e33d1:0x1a925b93dbb76841!8m2!3d-6.7169693!4d108.5638677!16s%2Fg%2F1pzsb564p!19sChIJ0TMeq2Tibi4RQWi325Nbkho?authuser=0&hl=id&rclk=1","Star Sports Club and Gym","4,5","(388)","Tempat Fitness","·","·","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH69-HtWK7P5YkUldhpV9ENYczZSZ5xEJeySrbhRnQNRrxoxP8IvXYe1V2qV8N9ldUKddGkKMkXxYi7IXlJbwapFrSFZz2rMYgxmg2n-GuoZIKNABqB20bunBqeMfkaXR4FqXRGKg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kl","gym","nya lengkap enakeun jugaa.""","","7HM7+6G9"
"https://www.google.com/maps/place/SPARTAN%27S+GYM/data=!4m7!3m6!1s0x2e6ee1df00000001:0xf3dbfc973efa0291!8m2!3d-6.7499576!4d108.4895283!16s%2Fg%2F11mxccwh97!19sChIJAQAAAN_hbi4RkQL6Ppf82_M?authuser=0&hl=id&rclk=1","SPARTAN'S GYM","4,4","(47)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE5rOMiEgjwJoOS3sQjtTsthkdl5nmTpSmnRCAAogEKBhjNulS3ztQJ8fMBZp8hZ7rIarAIweM6FVhtLe-pReuNAkw8GWBJ9mACAL9mPEXolSuwLUTLT055A8lUaXCiJ5mgbU0=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pengalaman terbaik pokonya","gym","disini 💪👍""","","Jl. Fatahillah Blok pesindangan No.48"
"https://www.google.com/maps/place/ZONA+GYM+FITNESS/data=!4m7!3m6!1s0x2e6ee1cd2cc67577:0xbb02e7b776f3785d!8m2!3d-6.7035922!4d108.5075125!16s%2Fg%2F11rvgx8zkv!19sChIJd3XGLM3hbi4RXXjzdrfnArs?authuser=0&hl=id&rclk=1","ZONA GYM FITNESS","4,5","(24)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWjEkypunL7hhu3enKQKdFOfszWfiGqxE8A06nrXN0rhgwXJCXFjUYDB2U3H0G63EDbYmWmXnScghFiW1W_3Z8XGXyQuiePoaRr2hjuJ6gjhCzIv-YFcUcMO-slLAvZwxq8-6WhQ=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","terenak,cuma sering tutup""","","Jl. Syekh Datul Kahfi No.45"
