"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/Rumah+Makan+Serba+Murah/data=!4m7!3m6!1s0x2e6f1d826aa89fbf:0xae2eaa51248e6bb8!8m2!3d-6.7363914!4d108.5307612!16s%2Fg%2F11jzd3wmml!19sChIJv5-oaoIdby4RuGuOJFGqLq4?authuser=0&hl=id&rclk=1","Rumah Makan Serba Murah","4,5","(17)","·","Rp 1–25.000","Rumah Makan","·","7G7J+F74","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFy693eGT_pirtyIa5g3BXb7zhBm-13QeXXWeuE5t7uyN7VyEfBXpAj-WIcQ2LdUu9hIapX8CuULKI9EvtKGoXwMUNNeYZvy5gJoWzXhoRd9Mn7D600F-2Jn65NFLnd4dRFKpCH2z4e8JU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk","makanan",""
"https://www.google.com/maps/place/RM.+Kambing+Bakar+Zam-zam+%28+Arabian+Foods%29/data=!4m7!3m6!1s0x2e6f1d41cd10fb75:0x36dbdd5acd54117c!8m2!3d-6.732637!4d108.5372443!16s%2Fg%2F11tj4l4tsx!19sChIJdfsQzUEdby4RfBFUzVrd2zY?authuser=0&hl=id&rclk=1","RM. Kambing Bakar Zam-zam ( Arabian Foods)","4,7","(80)","·","Rp 50–75 rb","Restoran","·","Jl. Taman Pemuda No.25","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpZHmRevh973y-oR10vfmuT20dTWNPNC76rp1SOj9vGOJKbARbxDcieOhfRfzskM-wGeEHuyAUeNostLTTIqJBmWn6-q322q2Kz_auzSzHegvmI9xomI4zyfd6tc225D9cVoAFww=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kambing bakarnya maknyooss...enak...""","",""
"https://www.google.com/maps/place/Mie+Get/data=!4m7!3m6!1s0x2e6f1d77f03cc431:0x8c2a08c93a2f98d!8m2!3d-6.7361261!4d108.5342084!16s%2Fg%2F11g19rwt14!19sChIJMcQ88Hcdby4Rjfmik4ygwgg?authuser=0&hl=id&rclk=1","Mie Get","4,6","(152)","·","Rp 1–25.000","Mi","·","·","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFs1pkpBQfX8c0c8BsM6MsVIk_5Xuf0JViuHFXv4FrtM8Gu5n6vnEOmYxXr3aClATYgOEcYHFgCYQoR0ZcJNo1PWu9jgyS6CJPBextWaIm8J2ed16cGW7-q5CnYe2jbzKDoXif5=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap rasanya !""","",""
"https://www.google.com/maps/place/Kedai+13/data=!4m7!3m6!1s0x2e6f1d0025bf1711:0xc4604754313c9c8c!8m2!3d-6.736763!4d108.534862!16s%2Fg%2F11nj5frgm4!19sChIJERe_JQAdby4RjJw8MVRHYMQ?authuser=0&hl=id&rclk=1","Kedai 13","","","","","Broker Makanan","·","Jl. Kandang Perahu Gg. Untag No.13","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","",""
"https://www.google.com/maps/place/Doshirak/data=!4m7!3m6!1s0x2e6f1da49ecb097f:0xac329fcc8eaf2553!8m2!3d-6.7425921!4d108.5315454!16s%2Fg%2F11pcxjnj2r!19sChIJfwnLnqQdby4RUyWvjsyfMqw?authuser=0&hl=id&rclk=1","Doshirak","4,9","(27)","·","Rp 1–25.000","Korea","·","Komplek, Jl. Nusa Endah No.W13","Segera tutup","· 20.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFi18lFlojrhEx8uRR8fBLjGrOhaUJSRyuxK3dySbqml9y8QGki6STiKX9Bb7wNm5g3uizqlWC4sGaBZslscfFRHNCyXqVL4g_DX2IcO-ZUiiXiCtxUn7bUHcCdAch77ycWRlt=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya sangat cepat, rasanya juga enak, designnya cantik sekali.""","",""
"https://www.google.com/maps/place/HAUS!/data=!4m7!3m6!1s0x2e6f1de05a0f9c41:0xadf9c2e353892dd!8m2!3d-6.7356476!4d108.533898!16s%2Fg%2F11nnvw7h9_!19sChIJQZwPWuAdby4R3ZI4NS6c3wo?authuser=0&hl=id&rclk=1","HAUS!","4,3","(340)","·","Rp 1–25.000","Kafe","","","Buka sekarang","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHX6a3vZ86DKzFBuITBRmtTaS7zFJfZpViQi_69UP3G0my7Afiaq34CUrnkT1se4XIU0iwQ8cWSPJvUuLpyRcaQiaM785EISYvZtG2x_Z8Wz6zwGUfUbRqDqOluE5NLR2hkT2dIzQZsW9c=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toppokinya enak, kuah nya kaldu banget, mantep deh pokoknya thebest""","",""
"https://www.google.com/maps/place/Mendelik/data=!4m7!3m6!1s0x2e6f1d7f0360e2bf:0x24332fd6bd02a5d6!8m2!3d-6.7342754!4d108.5423976!16s%2Fg%2F11w8724hjh!19sChIJv-JgA38dby4R1qUCvdYvMyQ?authuser=0&hl=id&rclk=1","Mendelik","4,7","(275)","·","Rp 25–50 rb","Bali","·","Jl. Monumen No.2","Buka","· Tutup pukul 22.00","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, harganya juga standar untuk","makanan",""
"https://www.google.com/maps/place/Akbar+spagethi/data=!4m7!3m6!1s0x2e6f1d042639a711:0xfbca7aec52099519!8m2!3d-6.7379611!4d108.5336997!16s%2Fg%2F11xfqg57px!19sChIJEac5JgQdby4RGZUJUux6yvs?authuser=0&hl=id&rclk=1","Akbar spagethi","","","","","Makanan Kecil","·","Jl. Kandang Perahu Gg. Kram T Siduku No.77","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-Nh1RF1Qts0qg3ueNFi80g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=67.84648&pitch=0&thumbfov=100","","Drive-through","Antar tanpa bertemu","·"
"https://www.google.com/maps/place/Bakso+ikan+tetelan/data=!4m7!3m6!1s0x2e6f1d6ddef17449:0x1ef8a69d462f6fd4!8m2!3d-6.7403926!4d108.5346689!16s%2Fg%2F11xf_n8_m5!19sChIJSXTx3m0dby4R1G8vRp2m-B4?authuser=0&hl=id&rclk=1","Bakso ikan tetelan","5,0","(1)","","","Makanan Kecil","·","Jl. Terusan Sekar Kemuning Gg. Mawar","Tutup","· Buka Sel pukul 10.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGD0tGrAMKBP_FIEXcg7pONdoualCt7CLjfrvXjB7S1C3mniBVDMagDKRVtGRuP9gtjy0ZG0-lRHKlwVtweWa1yVDhC5S_D7YlS7OQv0R9ZmwNuOAfVgc1IrYNbJR_4LPooW0WtiHRT_Z15=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bakso nya enak murah
harga mulai dari 3rb""","",""
"https://www.google.com/maps/place/Singkong+keju+sapa+hayoo/data=!4m7!3m6!1s0x2e6f1d34c48c0c63:0x7f06a2c8fb5c6c4!8m2!3d-6.7403926!4d108.5346689!16s%2Fg%2F11vrr5dg6f!19sChIJYwyMxDQdby4RxMa1jyxq8Ac?authuser=0&hl=id&rclk=1","Singkong keju sapa hayoo","","","","","Makanan Kecil","·","Blok Lapangan Volly Jl. Terusan Sekar Kemuning, RT.04/RW03","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0lxO8SR9ZePI8lXnVq-N94kmLQTMQd8D32X2LKMleURpoCMPXHYUsCE_Hg45OzDCchgpPB_a8sOgB6JUA4rinUJHxGd3HjvIYLJUzVTeCIxB39JwqdU-UC_XaIm5NLBj53lgb3A=w80-h142-k-no","","Makan di tempat","Ambil di tepi jalan","·"
