"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","ah5Ghc 2","ah5Ghc 3","M4A5Cf","e4rVHe"
"https://www.google.com/maps/place/BIMA+PIZZA/data=!4m7!3m6!1s0x2e6ee128e0a3fc2b:0x9454221cacf3ccad!8m2!3d-6.7108835!4d108.4536232!16s%2Fg%2F11h07wxlk5!19sChIJK_yj4Cjhbi4RrczzrBwiVJQ?authuser=0&hl=id&rclk=1","BIMA PIZZA","4,6","(9)","Kafe","·","7FQ3+JCX, Jl. Arya Salingsingan Gang Sidengok kidul","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4LUHWhcVUsovIJ_Z7ZEc8ARKayLEWCriKqHzhLvaHxzoHIHXhys7pCJxOgibqCjn6eYyv8byFahcW_IKz6zsdNgCvOaExgu_TIZLCD3jvecOCIeOG0Qp3PTkltEXix79vOE4=w80-h142-k-no","","Makan di tempat","","","Bawa pulang","","·",""
"https://www.google.com/maps/place/Kantor+Red+Chicken+%26+Red+Pizza/data=!4m7!3m6!1s0x2e6f1d36c908682f:0x5ea69bbf54ef18b1!8m2!3d-6.7494809!4d108.5629121!16s%2Fg%2F11s8cw1kmn!19sChIJL2gIyTYdby4RsRjvVL-bpl4?authuser=0&hl=id&rclk=1","Kantor Red Chicken & Red Pizza","4,0","(4)","Kantor Perusahaan","·","7H27+658","Buka","· Tutup pukul 04.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEutuPq4DCdMhLkL2cxHZeJxUTw_KRda2urYL_lfIG52Twv0JybjwTLIeAVWXuOYRFpPxODZd8qZlmKiYoLriUborl0bDNGHK8QE3iZloPwBPCVE3WZ3MUyJaeTjCp9vM5WNCpT=w80-h107-k-no","","","","","","","",""
"https://www.google.com/maps/place/pizza+apaya+tuparev+cirebon/data=!4m7!3m6!1s0x2e6ee34f1c686d4f:0xf75886e420afb83e!8m2!3d-6.7101309!4d108.5360786!16s%2Fg%2F11llnm17tg!19sChIJT21oHE_jbi4RPrivIOSGWPc?authuser=0&hl=id&rclk=1","pizza apaya tuparev cirebon","","","Pizza","·","depan indomart tuparev 3, Jl. Tuparev No.70-68","Segera tutup","· 21.00 · Buka Sel pukul 13.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_OUlY7t3dGZD5Q8HJY1yhw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=9.874049&pitch=0&thumbfov=100","","Bawa pulang","","","Antar tanpa bertemu","","·","Tidak ada ulasan"
"https://www.google.com/maps/place/Martabak+Manis+%26+Pizza+King%27s+Rachman/data=!4m7!3m6!1s0x2e6f1ff1d3eda007:0x6027d21ba99365ad!8m2!3d-6.7538695!4d108.5143909!16s%2Fg%2F11kk9fgmb2!19sChIJB6Dt0_Efby4RrWWTqRvSJ2A?authuser=0&hl=id&rclk=1","Martabak Manis & Pizza King's Rachman","4,0","(1)","Pizza","·","Jl. Pangeran Cakrabuana No.14","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKdh6nwNQo3Xn5UYEYjB2VojRvwlf2EUI7nNg6yUcEK6B4KydxLZe8XNNE4jXas6C1bemWr85Ghklvm916388CjCH2HuDOlBZYcfAggDEzU3K4aj5QcVNbBc-UH3RTVhhB-ri-8Q=w80-h106-k-no","","Makan di tempat","","","Bawa pulang","Pesan antar","·",""
"https://www.google.com/maps/place/Istanbul+Kebab+Pide+Turkish+Pizza/data=!4m7!3m6!1s0x2e6ee31e20dadac3:0xb96b080c0d5bdc7c!8m2!3d-6.7148273!4d108.551026!16s%2Fg%2F11vq268pq5!19sChIJw9raIB7jbi4RfNxbDQwIa7k?authuser=0&hl=id&rclk=1","Istanbul Kebab Pide Turkish Pizza","3,1","(17)","Konsultan makanan dan minuman","·","Jl. Cipto Mangunkusumo","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHd8flPBT0O33PdSarxtxyPPcsYn8PJAwfPy4IplbePBtOrExq7Ks33dCrzQfyLgBbsrt8VW7nQfeqNMx0XVrwhRgtsmd-JN5xSJ6BLIEdXJOUo0igNBI1lUWtrfgwLZ8LqvV0W=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak","","","pizza","nya tipis harga terjangkau""","",""
"https://www.google.com/maps/place/Istanbul+Kebab+%26+Pide+Turkish+Pizza+Sumber+Cirebon/data=!4m7!3m6!1s0x2e6f1f5708e00fa5:0xd746e10b1b170102!8m2!3d-6.7588257!4d108.4768228!16s%2Fg%2F11sb6pdv9_!19sChIJpQ_gCFcfby4RAgEXGwvhRtc?authuser=0&hl=id&rclk=1","Istanbul Kebab & Pide Turkish Pizza Sumber Cirebon","4,3","(31)","Pizza","·","Jl. R.Dewi Sartika","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDMmxFrKCTdInxGE7LaGV85NHNCc0VpyUf8CSESrlJ7i-yZEmOwtBBmAEDBuHXJVvvEZm81l4b5YWUQqJR4Tc0mxGpqkjaddr0Mwg76Ro1sqPcVwcuBilPoAnosmPNAE7ygLo=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","·","Rp 1–25.000","Pizza","nya enak banget!""","",""
"https://www.google.com/maps/place/Smalldose+Coffee+Roaster/data=!4m7!3m6!1s0x2e6ee38117966d33:0x32f3bd37540acd9b!8m2!3d-6.7105566!4d108.5519654!16s%2Fg%2F11vs238t6h!19sChIJM22WF4Hjbi4Rm80KVDe98zI?authuser=0&hl=id&rclk=1","Smalldose Coffee Roaster","4,9","(111)","Kedai Kopi","·","Jl. Sukasari No.11","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-MUf2cnPKt5x0MueoQVtPI12DCOkumruzHzc97BPl2KB6EgGVvrGJk0ax-NBtn_81o_2HK83In47TzRIjuczbG7doCv7rPnj4MVJjaslrQwBkwu3pkd93QFOReWGhkEOOBhHgM745WCSe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pizzanya pun enak.""","·","Rp 25–50 rb","","","",""
"https://www.google.com/maps/place/Pizza+Gaza+Cirebon/data=!4m7!3m6!1s0x2e6ee37cd3bd828b:0x339fb041bdb861ae!8m2!3d-6.7078713!4d108.5529489!16s%2Fg%2F11wwm850zj!19sChIJi4K903zjbi4RrmG4vUGwnzM?authuser=0&hl=id&rclk=1","Pizza Gaza Cirebon","","","Pemasok Produk Makanan","·","Jl. Kembang Jl. Pancuran Utara No.10, RT.04/RW.05","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-27dkxosKHKSW6O1nyII5UVPMTAiy78kc6bach2wOPnZSwsREbnGWZamGFCJuI6tEJaUUtlsm76tluwoOP9pXXPSX1MhaC7f23Mg2xUviw_bsy47NEP5gl97tOFprFW5p-JWg=w80-h106-k-no","","","","","","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Pizza+Waroeng+Alen/data=!4m7!3m6!1s0x2e6f1f06f6d438d3:0x25f0a1bab49031a4!8m2!3d-6.7440288!4d108.4623173!16s%2Fg%2F11fwxjmyfx!19sChIJ0zjU9gYfby4RpDGQtLqh8CU?authuser=0&hl=id&rclk=1","Pizza Waroeng Alen","4,6","(14)","Toko Makanan","·","·","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdY6VjPjhL8aQJxqTlK4wsn2yQZXgdh_xyFh4rPsB0xlF0LOtiLHzwkRQ7Yubii7NrBK113KYWL0OLnWpFhHG68LAUqYYN6FqVwVJCIyEfTziRCcZex9o05l-lzgBkJ1OMVdT_SQ=w80-h92-k-no","","Makan di tempat","","","Bawa pulang","Pesan antar","·",""
"https://www.google.com/maps/place/Pizza+tarik/data=!4m7!3m6!1s0x2e6f1d005c003e2b:0x953c1866a0d09104!8m2!3d-6.7608593!4d108.5552215!16s%2Fg%2F11ms_9y34f!19sChIJKz4AXAAdby4RBJHQoGYYPJU?authuser=0&hl=id&rclk=1","Pizza tarik","","","Pizza","·","Jl. Kalijaga No.78","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K70bUoDsval3ONTTfS3dZw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=8.474039&pitch=0&thumbfov=100","","Makan di tempat","","","Bawa pulang","","·","Tidak ada ulasan"
