"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/Kedai+Ritchi+japanesefood+%26+Drink/data=!4m7!3m6!1s0x2e6f1db78421df91:0x3a8202e714938298!8m2!3d-6.7352161!4d108.532322!16s%2Fg%2F11sttr38t5!19sChIJkd8hhLcdby4RmIKTFOcCgjo?authuser=0&hl=id&rclk=1","Kedai Ritchi japanesefood & Drink","5,0","(3)","","","Jepang","·","7G7J+WW8, Jl. Perjuangan","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEU43i9lGZy3LNP5u4CygXspbEINkNusc0YxJAxjWBFFT1uOo-Ht3sIMtZsNnTrZuxQp8HIIJQD80rfG-No3CW2vE0P1Gxp5NFIBKgA2ZcX89h4JNnRmXjfqeqTSWoReDMrRbUclQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa masakan sedap,pelayanan ramah, ramah dikantong""","",""
"https://www.google.com/maps/place/Kedai+HILODY+Sosis+Bakar+Dan+Sostel/data=!4m7!3m6!1s0x2e6f1da39f59809f:0x2074d53d867cff0!8m2!3d-6.7356203!4d108.5325771!16s%2Fg%2F11hzmpn61b!19sChIJn4BZn6Mdby4R8M9n2FNNBwI?authuser=0&hl=id&rclk=1","Kedai HILODY Sosis Bakar Dan Sostel","5,0","(1)","","","Restoran","·","depan IAIN syariah syekh Nurjati, Jl. Perjuangan Gg. Pd. No.ruko","Buka","· Tutup Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhw07sCYTVXnnoWxxWK__n3CoPXHqCFvnPv9aDd6zxrGHE6to4jf0t-G55czanCIS-aN6yAh7TDg0zcD6VwbenfjEg4Gzcg36hHjbKDUplgSpR-CNh-dzG9cDZc5ZBNIWDuwrI=w80-h106-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Kedai+Niskala/data=!4m7!3m6!1s0x2e6f1d6cb204c5d7:0x3e0ecbd12cad4fc7!8m2!3d-6.7365951!4d108.5292488!16s%2Fg%2F11t6xp9vn6!19sChIJ18UEsmwdby4Rx0-tLNHLDj4?authuser=0&hl=id&rclk=1","Kedai Niskala","5,0","(2)","","","Kedai Kopi","·","Majasem, Jl. Majasem No.3","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkQre-5Ar1-PYkzy7ifQDcmumsJXIhOOPwBJNpMNCoch3JcK_zWda1obsIGossG7QRN-hwOtUucgWSMrTKOZoRwb1C5HoxsBYx8sDlTA5IjGJ5BSdn1ba63P5ULTCk-MUHb5zy=w122-h92-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Kedai+Bandito/data=!4m7!3m6!1s0x2e6f1d59fffba387:0x8c294e327b2048b5!8m2!3d-6.7368772!4d108.5286727!16s%2Fg%2F11fk4qcgzy!19sChIJh6P7_1kdby4RtUggezJOKYw?authuser=0&hl=id&rclk=1","Kedai Bandito","5,0","(1)","","","Restoran","·","7G7H+6FV","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6tBz2lYyhAXScZSrkaSmbD4SzBtUsA7Qt3iKaS0Qel3MaZbhS4cwZ7vNNvA8fuW7hWrzaVkEuHwHWH-7QCKwJETHBm1RiVS_iBfQ65M3GhTrgKGBWS2oB5t3V-86dqYuHeJhOUA=w138-h92-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Kedai+Aa+Perjuangan/data=!4m7!3m6!1s0x2e6f1d4007b8006d:0x7762dadcfd685ad3!8m2!3d-6.7357334!4d108.5339843!16s%2Fg%2F11vdglcgmj!19sChIJbQC4B0Adby4R01po_dzaYnc?authuser=0&hl=id&rclk=1","Kedai Aa Perjuangan","","","","","Dapur Umum","·","Jl. Perjuangan No.52b","Buka 24 jam","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iXRIpFV4kPBdcuEIRllOOQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=167.90126&pitch=0&thumbfov=100","","","",""
"https://www.google.com/maps/place/Kedai+Nessa/data=!4m7!3m6!1s0x2e6f1dfa8e5c3e31:0xb1760a1fef43dde4!8m2!3d-6.7357231!4d108.5327514!16s%2Fg%2F11hc_23_d3!19sChIJMT5cjvodby4R5N1D7x8KdrE?authuser=0&hl=id&rclk=1","Kedai Nessa","4,7","(15)","","","Restoran","·","7G7M+P46, Jl. Perjuangan","Tutup","· Buka Sel pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRHNoy43_gxbcVbjDmDFAejBjEl9JBZQDbRL4x85Y6Bjwk6iQWBdPfcj7KUphzjqRJaqYVQL1Mh4RxoKtCzopvwljzwHI8sN6avO7SX_Q5b5556N2mDWA3OqVy7QplznfvAEaCFiddx4Ec=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rujak buahnya endullll""","",""
"https://www.google.com/maps/place/Kedai+AR+Shelter+43+-+44/data=!4m7!3m6!1s0x2e6ee3b5fd4b8551:0xcd126b83a718896d!8m2!3d-6.7321723!4d108.5354233!16s%2Fg%2F11w46p9ppg!19sChIJUYVL_bXjbi4RbYkYp4NrEs0?authuser=0&hl=id&rclk=1","Kedai AR Shelter 43 - 44","5,0","(2)","","","Kedai Kopi","·","Bima stadion Shelter 43 - 44","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-n4J1V84Uhi3pLQgzHGlrvSID6O4HWVWOEDAe2LGL0jSG7CLqgWX0vbSW5_oDa0qFO3hCwjYGhevSsrejDuYLGGutLvaG_QfhjaM2CCHbqggjzpv5mOQe2P7akzI3QbI2g92cA3wiE_y_=w80-h142-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Kedai+Chimocha+Mochi/data=!4m7!3m6!1s0x2e6f1d006136461b:0xcdeaf3029c07d150!8m2!3d-6.736818!4d108.5323908!16s%2Fg%2F11wgl7md2m!19sChIJG0Y2YQAdby4RUNEHnALz6s0?authuser=0&hl=id&rclk=1","Kedai Chimocha Mochi","5,0","(1)","","","Pusat jajanan kaki lima","·","Jl. Kandang Perahu No.9A","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXiJr_jiOm7845c_XT-wQgyVfAHnkTSi3cHPfpXEHQCqjh_rcnNjpmxuNPHeQZ7-DmsuX0koX6sTKlLQsoPdglFOTebIZ99n_oTVGEOnx-hZAUM0mMyFXAMASO_f5f6L088sr2=w80-h106-k-no","","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Posisi/data=!4m7!3m6!1s0x2e6f1d002c1eaa65:0x3833543ac227b769!8m2!3d-6.742652!4d108.5248266!16s%2Fg%2F11xvqlfdsw!19sChIJZaoeLAAdby4RabcnwjpUMzg?authuser=0&hl=id&rclk=1","Kedai Posisi","5,0","(1)","","","Kedai Kopi","·","Jl. Swadaya No.l","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSqqZkW1xrecNq_OxnseJJCmtRpcfDqAmd_4cBfAcq9Nelpp22CqXSybwo4Q5AEXNg3_oXMQOu7DZnfKn5LqgBTyZOIB3SXvbxKkEwbiyIjlxvPAgnLycACZbHuv7kaJXZfeiAvNh8WWOa=w122-h92-k-no","","Makan di tempat","",""
"https://www.google.com/maps/place/Kedai+Woro+%28KW%29/data=!4m7!3m6!1s0x2e6f1fe2fb646c7f:0x5d76d81f3ef9dbdf!8m2!3d-6.7432621!4d108.5218985!16s%2Fg%2F11yr4d5s8l!19sChIJf2xk--Ifby4R39v5Ph_Ydl0?authuser=0&hl=id&rclk=1","Kedai Woro (KW)","5,0","(3)","","","Brunch","·","Jl. Perjuangan Jl. Majasem No.kp, RT./RW/RW.002/008","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxq7UX-LHYFNgVtlIyqYxvbUifJvbDfZPyLcDVI_H7KO8BVfpxg2eIp0_CXRVf68EurV3adHkgmbI6gMxsonNpFkfJTMujRptbBz5qyEahKARUjDISjD_JGnV6LlKChXraxQE_Q7QqC0U=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak""","",""
