"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Alfamart+Ciremai+2/data=!4m7!3m6!1s0x2e6f1d98a2ce3495:0xc1242b0ddca00895!8m2!3d-6.7472235!4d108.56279!16s%2Fg%2F1hm51xnz3!19sChIJlTTOopgdby4RlQig3A0rJME?authuser=0&hl=id&rclk=1","Alfamart Ciremai 2","4,3","(151)","Minimarket","·","","·","Jl. Ciremai Raya Kel No.112","Buka","· Tutup pukul 22.00","·","1 500 959","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat bagus, kopinya enak""","","",""
"https://www.google.com/maps/place/Indomaret+Pilangsari/data=!4m7!3m6!1s0x2e6ee38510c7c4b5:0x6462cb97faa4caaf!8m2!3d-6.708204!4d108.5312624!16s%2Fg%2F11hzphdwx5!19sChIJtcTHEIXjbi4Rr8qk-pfLYmQ?authuser=0&hl=id&rclk=1","Indomaret Pilangsari","4,6","(132)","Minimarket","·","","·","Buka","Jl. Pilang Raya No.400, RT.01/RW.1","· Tutup pukul 22.00","·","(0231) 247089","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suka nyri brang promo.. Psti mampir.. Hahaha, ingt jamn doloe""","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Alfamart+Pilangsari+37/data=!4m7!3m6!1s0x2e6ee222b26d6c05:0x327a20df52d727f4!8m2!3d-6.7074015!4d108.5341946!16s%2Fg%2F11dxnrr0yf!19sChIJBWxtsiLibi4R9CfXUt8gejI?authuser=0&hl=id&rclk=1","Alfamart Pilangsari 37","4,2","(155)","Minimarket","·","","·","Jl. Pilang Sari Desa No.37, RT.002/RW.001","Buka","· Tutup pukul 22.00","·","(021) 1500959","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Parkir kendaraan nya aman""","","",""
"https://www.google.com/maps/place/Indomaret+Pilang+Raya+2+Kabupaten+Cirebon/data=!4m7!3m6!1s0x2e6ee23e91e22d87:0x6889ce1dea032aa8!8m2!3d-6.7045445!4d108.5414263!16s%2Fg%2F11hd1p0png!19sChIJhy3ikT7ibi4RqCoD6h3OiWg?authuser=0&hl=id&rclk=1","Indomaret Pilang Raya 2 Kabupaten Cirebon","4,5","(355)","Minimarket","·","","·","7GWR+5HM, Jl. Pilang Raya","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyaman bersih, tersedia toilet pelayanan ok.""","","",""
"https://www.google.com/maps/place/Yomart+Kalijaga+Fresh/data=!4m7!3m6!1s0x2e6f1d0046d333e3:0x391041b9d7e8aa26!8m2!3d-6.7581476!4d108.5582317!16s%2Fg%2F11w46kgc9l!19sChIJ4zPTRgAdby4RJqro17lBEDk?authuser=0&hl=id&rclk=1","Yomart Kalijaga Fresh","4,0","(36)","Minimarket","·","","6HR5+P7X, Jl. Taman Raya","","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap dan fresh""","","",""
"https://www.google.com/maps/place/Alfamart+Star+Laris+Mangga+Raya/data=!4m7!3m6!1s0x2e6f1da54c9de0a7:0xeb34ed6c7810e65b!8m2!3d-6.7572556!4d108.5583198!16s%2Fg%2F11bv3s0ydh!19sChIJp-CdTKUdby4RW-YQeGztNOs?authuser=0&hl=id&rclk=1","Alfamart Star Laris Mangga Raya","4,0","(11)","Minimarket","·","","·","Jl. Mangga Raya 1 No.13","Buka 24 jam","","·","0818-0202-0958","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sama seperti Alfamart lainnya.""","","",""
"https://www.google.com/maps/place/Indomaret+Kutagara/data=!4m7!3m6!1s0x2e6f1d80a69c20c5:0x5674faa59e87331f!8m2!3d-6.7286896!4d108.5651001!16s%2Fg%2F11bc7t14xz!19sChIJxSCcpoAdby4RHzOHnqX6dFY?authuser=0&hl=id&rclk=1","Indomaret Kutagara","3,5","(92)","Minimarket","·","","·","Buka","Jl. Kutagara No.22","· Tutup pukul 22.00","·","(0231) 204668","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Potongan harganya tambah donk""","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Alfamart+Rajawali/data=!4m7!3m6!1s0x2e6f1d83f86dc271:0xffee15e137d045ae!8m2!3d-6.73912!4d108.56372!16s%2Fg%2F1hm2pgpdy!19sChIJccJt-IMdby4RrkXQN-EV7v8?authuser=0&hl=id&rclk=1","Alfamart Rajawali","4,1","(23)","Minimarket","·","","·","Jl. Rajawali Raya Kel No.G.6, RT.04/RW.17","Buka","· Tutup pukul 22.00","·","1 500 959","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih brg lengkap""","","",""
"https://www.google.com/maps/place/Hanif+Grosir/data=!4m7!3m6!1s0x2e6f1e7ba685c581:0x88d3b72f4d0eca65!8m2!3d-6.7632741!4d108.5139557!16s%2Fg%2F11bc7m6yhy!19sChIJgcWFpnseby4RZcoOTS-304g?authuser=0&hl=id&rclk=1","Hanif Grosir","4,5","(221)","Minimarket","·","","·","6GP7+HHW, Jl. Cendana Raya No.102","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","(0231) 8301943","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ditempat saya ini","","",""
"https://www.google.com/maps/place/Indomaret+Ciremai+Raya/data=!4m7!3m6!1s0x2e6f1d98a3374921:0xc50d5b1c815efa85!8m2!3d-6.7471337!4d108.5628679!16s%2Fg%2F11dz55_2fj!19sChIJIUk3o5gdby4RhfpegRxbDcU?authuser=0&hl=id&rclk=1","Indomaret Ciremai Raya","3,3","(19)","Minimarket","·","","·","Buka","Jl. Gn. Pangrango No.23","· Tutup pukul 22.00","·","0896-5032-0010","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya sangat cepat dan baik , khususnya produknya sangat  lengkap😀""","http://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Indomaret+Ciremai/data=!4m7!3m6!1s0x2e6f1da361e5c6e1:0x501cfd741a81940e!8m2!3d-6.7529268!4d108.5601605!16s%2Fg%2F11bc7p4cvy!19sChIJ4cblYaMdby4RDpSBGnT9HFA?authuser=0&hl=id&rclk=1","Indomaret Ciremai","3,4","(20)","Minimarket","·","","·","Buka","Jl. Ciremai Raya No.155","· Tutup pukul 00.55","·","(0231) 482763","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat bersih..ramai""","https://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Toko+Kurnia+Jaya/data=!4m7!3m6!1s0x2e6f1d8993f1c899:0xf24366d1cb480fff!8m2!3d-6.7293733!4d108.553641!16s%2Fg%2F11by_cmvt7!19sChIJmcjxk4kdby4R_w9Iy9FmQ_I?authuser=0&hl=id&rclk=1","Toko Kurnia Jaya","5,0","(3)","Toko makanan grosir","·","","RM Urban Chicken, Toko Kurnia Jaya, Komplek Graha Citra, Jl. DR. Sudarsono blkg No.8, RT.3/RW4","·","Tutup","· Buka Sel pukul 08.00","","0838-5461-4111","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko Kurnia Jaya FAST RESPON CEPAT H.U.B
(𝘞𝘈)𝟎ꐪ𝟙ᶚ- 𝟕𝟠𝐎𝐎-𝟗 ᶚ 𝐎""","","",""
"https://www.google.com/maps/place/Alfamart+Tuparev+2+Cirebon/data=!4m7!3m6!1s0x2e6ee3cf47d8bf69:0xd62a0fcfbfe1f6d8!8m2!3d-6.7109927!4d108.5429213!16s%2Fg%2F11mvwdzt7w!19sChIJab_YR8_jbi4R2Pbhv88PKtY?authuser=0&hl=id&rclk=1","Alfamart Tuparev 2 Cirebon","1,0","(1)","Minimarket","·","","Jl. Tuparev No.40","·","Buka","· Tutup pukul 22.00","","0812-9467-4568","","Rute","","Pesan antar","","",""
"https://www.google.com/maps/place/Indomaret+Kartini+2/data=!4m7!3m6!1s0x2e6ee2694767abd5:0xe5bcc2f98771e166!8m2!3d-6.711263!4d108.5537772!16s%2Fg%2F11d_27bnbp!19sChIJ1atnR2nibi4RZuFxh_nCvOU?authuser=0&hl=id&rclk=1","Indomaret Kartini 2","4,4","(272)","Minimarket","·","","Jl. Kartini No.40","Buka","","· Tutup pukul 22.20","","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://indomaret.co.id/","","Rute"
"","","","","","","","","","","","","","","","","","","",""
