"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Cimanuk+Copy+Center/data=!4m7!3m6!1s0x2e6f1dbd4f79bf73:0xb00540dd0efaf4f8!8m2!3d-6.7299908!4d108.532749!16s%2Fg%2F11rwrs5mkg!19sChIJc795T70dby4R-PT6Dt1ABbA?authuser=0&hl=id&rclk=1","Cimanuk Copy Center","4,0","(15)","Toko Fotokopi","·","Jl. Citarum No.49","Tutup","· Buka Sel pukul 07.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bagus banget hasil"
"https://www.google.com/maps/place/Akbar+Print/data=!4m7!3m6!1s0x2e6f1d92e9438dc3:0xf33c7ed4c227976b!8m2!3d-6.739885!4d108.548217!16s%2Fg%2F11bxdwby_h!19sChIJw41D6ZIdby4Ra5cnwtR-PPM?authuser=0&hl=id&rclk=1","Akbar Print","4,5","(241)","Industri Percetakan","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Kanggraksan No.1","(0231) 481599","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat digital printing yg selalu menjaga kwalitas printing nya.."""
"https://www.google.com/maps/place/JAVANET+Rental+Computer/data=!4m7!3m6!1s0x2e6f1da2984a53c7:0x5d6a538405874ea2!8m2!3d-6.7485617!4d108.5598734!16s%2Fg%2F11bt_jr0yy!19sChIJx1NKmKIdby4Rok6HBYRTal0?authuser=0&hl=id&rclk=1","JAVANET Rental Computer","4,6","(49)","Toko Percetakan","·","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","Jl. Gn. Malabar I Perumnas No.194","0815-2344-760","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bakalan sering"
"https://www.google.com/maps/place/Percetakan+erha+print/data=!4m7!3m6!1s0x2e6f1decc15f9f27:0x229235666dbdf3f4!8m2!3d-6.7417665!4d108.5456856!16s%2Fg%2F11ggmqnkym!19sChIJJ59fwewdby4R9PO9bWY1kiI?authuser=0&hl=id&rclk=1","Percetakan erha print","4,5","(52)","Layanan cetak digital","·","·","Tutup","· Buka Sel pukul 09.00","Jl. Kanggraksan No.73","0877-7195-8791","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended bgt pokoknya buat yg mau cetak disini!"""
"https://www.google.com/maps/place/JF+PERCETAKAN+ONLINE+CIREBON+-+digital+printing+%26+advertising+24+JAM+by+NAISEZ./data=!4m7!3m6!1s0x2e6f1dc858197073:0x7498a5039baee87a!8m2!3d-6.729332!4d108.56955!16s%2Fg%2F11sd3r481n!19sChIJc3AZWMgdby4ReuiumwOlmHQ?authuser=0&hl=id&rclk=1","JF PERCETAKAN ONLINE CIREBON - digital printing & advertising 24 JAM by NAISEZ.","5,0","(79)","Percetakan Komersial","·","Dekat, Jl. Tanggul Raya No.300","Buka 24 jam","","·","0877-4094-8660","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil cetakan kualitas nya sangat bagus 🙌"""
"https://www.google.com/maps/place/Harmoni+Digital+Printing+Cirebon/data=!4m7!3m6!1s0x2e6f1d92c874283f:0x26035f2d3118187e!8m2!3d-6.7396176!4d108.5469896!16s%2Fg%2F11cs1ckqsk!19sChIJPyh0yJIdby4RfhgYMS1fAyY?authuser=0&hl=id&rclk=1","Harmoni Digital Printing Cirebon","4,6","(18)","Toko Percetakan","·","·","Tutup","· Buka Sel pukul 08.30","Jl. Brigjen Darsono No.35","(0231) 8804931","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cari tempat printingan di cirebon yg bagus?"""
"https://www.google.com/maps/place/Rajawali+Percetakan/data=!4m7!3m6!1s0x2e6f1d934a9bd66d:0xc14ebd012602212d!8m2!3d-6.7407903!4d108.5473052!16s%2Fg%2F1pzsnc447!19sChIJbdabSpMdby4RLSECJgG9TsE?authuser=0&hl=id&rclk=1","Rajawali Percetakan","4,1","(47)","Toko Percetakan","·","Jl. Kanggraksan No.33","Tutup","· Buka Sel pukul 08.00","·","(0231) 487261","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, kualitas bagus banget,tempat nyaman,ramah juga mas Alan n mas Dafa"""
"https://www.google.com/maps/place/Potlot+Printshop+-+One+stop+printing+dan+sublim+jersey+Cirebon/data=!4m7!3m6!1s0x2e6ee216627a93c3:0x85d5819a2ee613c5!8m2!3d-6.7099365!4d108.5399192!16s%2Fg%2F11c55fsd0t!19sChIJw5N6Yhbibi4RxRPmLpqB1YU?authuser=0&hl=id&rclk=1","Potlot Printshop - One stop printing dan sublim jersey Cirebon","4,8","(442)","Toko Percetakan","·","·","Tutup","· Buka Sel pukul 09.00","Jl. Cemp. No.8","0821-1969-9940","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terbaik di cirebon, very professional,fast and good quality."""
"https://www.google.com/maps/place/Asa+Indah+Studio/data=!4m7!3m6!1s0x2e6ee20578616e17:0x65f6ba6aa802ef09!8m2!3d-6.7207238!4d108.5338439!16s%2Fg%2F11cs4nngqq!19sChIJF25heAXibi4RCe8CqGq69mU?authuser=0&hl=id&rclk=1","Asa Indah Studio","2,9","(12)","Toko Percetakan","·","Jl. Cideng Jaya No.03","Segera tutup","· 21.00 · Buka Sel pukul 06.00","·","0896-6093-4716","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cukup baik,Minggu buka sangat membantu, cepat jadi/bisa ditunggu.."""
"https://www.google.com/maps/place/Super+Print+Digital+Printing/data=!4m7!3m6!1s0x2e6ee2649e6e5bbb:0xebfcdc1259a7d02e!8m2!3d-6.7392066!4d108.5845825!16s%2Fg%2F1pztqcb9_!19sChIJu1tunmTibi4RLtCnWRLc_Os?authuser=0&hl=id&rclk=1","Super Print Digital Printing","4,2","(33)","Printer Digital","·","blok g1, No. 6 - 10, Komplek Pegambiran Estate Gang Nyiur","Buka","· Tutup Sel pukul 05.00","·","(0231) 220143","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ruang editingnya adem jadi betah"""
