"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","e4rVHe"
"https://www.google.com/maps/place/AANG+BOOKSTORE/data=!4m7!3m6!1s0x2e6f1d6b7664420d:0x3aaaba30a9fc92e2!8m2!3d-6.7357787!4d108.5336154!16s%2Fg%2F11mvzyh7t_!19sChIJDUJkdmsdby4R4pL8qTC6qjo?authuser=0&hl=id&rclk=1","AANG BOOKSTORE","3,0","(2)","Toko Buku","·","depan Kampus utama IAIN Samping fotokopi saudara, Jl. Perjuangan","Tutup","· Buka Sel pukul 09.00","·","0812-2146-5747","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Punya LKS b Indonesia kls X ngga kak""",""
"https://www.google.com/maps/place/Cimanuk+Copy+Center/data=!4m7!3m6!1s0x2e6f1dbd4f79bf73:0xb00540dd0efaf4f8!8m2!3d-6.7299908!4d108.532749!16s%2Fg%2F11rwrs5mkg!19sChIJc795T70dby4R-PT6Dt1ABbA?authuser=0&hl=id&rclk=1","Cimanuk Copy Center","4,0","(15)","Toko Fotokopi","·","Jl. Citarum No.49","Segera tutup","· 20.00 · Buka Sel pukul 07.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harga terjangkau bgt, Mayan Deket dr rumah, lengkap""",""
"https://www.google.com/maps/place/FOTOCOPY+BALAD/data=!4m7!3m6!1s0x2e6f1d3c98977193:0x50522937b6b8f41c!8m2!3d-6.7402966!4d108.5428767!16s%2Fg%2F11jrk3rfyk!19sChIJk3GXmDwdby4RHPS4tjcpUlA?authuser=0&hl=id&rclk=1","FOTOCOPY BALAD","5,0","(2)","Toko Fotokopi","·","Jl. Evakuasi No.10","Segera tutup","· 20.30 · Buka Sel pukul 09.00","·","0813-2150-5451","","Rute","","",""
"https://www.google.com/maps/place/Intan+Keluarga+Copy+Center/data=!4m7!3m6!1s0x2e6f1dfb7787dc59:0x64f6aa79bacbff6b!8m2!3d-6.7387936!4d108.5240091!16s%2Fg%2F11bzrj46qw!19sChIJWdyHd_sdby4Ra__Lunmq9mQ?authuser=0&hl=id&rclk=1","Intan Keluarga Copy Center","4,2","(11)","Toko Fotokopi","·","Jl. Perjuangan Jl. Majasem No.9","Segera tutup","· 20.00 · Buka Sel pukul 08.00","·","0853-1451-1054","","Rute","","",""
"https://www.google.com/maps/place/Saudara+Copy+Center+Pemuda/data=!4m7!3m6!1s0x2e6f1da89c902b61:0x30bf5c8cf8d75d49!8m2!3d-6.7295926!4d108.5449913!16s%2Fg%2F11fhrt5lgg!19sChIJYSuQnKgdby4RSV3X-IxcvzA?authuser=0&hl=id&rclk=1","Saudara Copy Center Pemuda","4,2","(9)","Toko Fotokopi","·","7GCV+5X9, Jl. Pemuda Raya","Buka","· Tutup pukul 22.00","·","0821-1533-5380","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah dan lengkap untuk keperluan kampus harga mahasiwa banget""",""
"https://www.google.com/maps/place/Ujang+Photo+Copy/data=!4m7!3m6!1s0x2e6f1d5127bf13e9:0x5dd53a36e5bf7750!8m2!3d-6.7408636!4d108.5427746!16s%2Fg%2F11c1r4hw84!19sChIJ6RO_J1Edby4RUHe_5TY61V0?authuser=0&hl=id&rclk=1","Ujang Photo Copy","1,0","(2)","Toko Fotokopi","·","Jl. Evakuasi No.Raya","Segera tutup","· 20.00 · Buka Sel pukul 07.00","·","0852-2497-1043","","Rute","","",""
"https://www.google.com/maps/place/Fotocopy+Kalitanjung/data=!4m7!3m6!1s0x2e6f1debea246db9:0x258878394b52b702!8m2!3d-6.744678!4d108.541552!16s%2Fg%2F11c1rf0jvt!19sChIJuW0k6usdby4RArdSSzl4iCU?authuser=0&hl=id&rclk=1","Fotocopy Kalitanjung","4,8","(9)","Toko Fotokopi","·","Jl. Kalitanjung No.62","","","","(0231) 48362","","Rute","","",""
"https://www.google.com/maps/place/Anugrah+Utama+Photo+Copy+Digital+%26+Print/data=!4m7!3m6!1s0x2e6ee21c391d0a8b:0xcbb33562a938b949!8m2!3d-6.7146595!4d108.526471!16s%2Fg%2F11cs1rd87b!19sChIJiwodORzibi4RSbk4qWI1s8s?authuser=0&hl=id&rclk=1","Anugrah Utama Photo Copy Digital & Print","4,1","(49)","Toko Fotokopi","·","·","Buka","· Tutup pukul 22.00","Jl. Sultan Ageng Tirtayasa","0823-1948-6666","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Atk ckup komplit, ngeprint komputernya ada banyak, cetak photo juga bisa.""",""
"https://www.google.com/maps/place/IND+Printing/data=!4m7!3m6!1s0x2e6f1dec9ccb83a3:0xd8a6a400b0db3c27!8m2!3d-6.7431874!4d108.544172!16s%2Fg%2F11f1761lsp!19sChIJo4PLnOwdby4RJzzbsACkptg?authuser=0&hl=id&rclk=1","IND Printing","4,6","(51)","Percetakan Komersial","·","Jl. Kanggraksan","Buka","· Tutup pukul 21.00","·","(0231) 8806171","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada no wa yang bisa di hubungin tidak yah""",""
"https://www.google.com/maps/place/Mingkuang+Copy+Servise/data=!4m7!3m6!1s0x2e6f1e73c5925307:0x367a78229a98d75e!8m2!3d-6.7539111!4d108.5145801!16s%2Fg%2F11f2grx8xp!19sChIJB1OSxXMeby4RXteYmiJ4ejY?authuser=0&hl=id&rclk=1","Mingkuang Copy Servise","3,6","(17)","Toko Alat Tulis Kantor","·","·","Buka","· Tutup pukul 21.30","Jl. Pangeran Cakrabuana Ruko Bukepin No.12A","0812-2202-2030","","Rute","","Belanja di toko",""
"https://www.google.com/maps/place/Fath+Cell+%26+Photo/data=!4m7!3m6!1s0x2e6f1ddfb9d4142f:0xebfab760129855f6!8m2!3d-6.7346177!4d108.5391865!16s%2Fg%2F11g1pn94pr!19sChIJLxTUud8dby4R9lWYEmC3-us?authuser=0&hl=id&rclk=1","Fath Cell & Photo","4,0","(2)","Layanan cetak digital","·","Jl. Perjuangan No.8A","Tutup","· Buka Sel pukul 07.00","·","0821-2796-1593","","Rute","","",""
"https://www.google.com/maps/place/Pagaruyung+Fotocopy+Centre/data=!4m7!3m6!1s0x2e6ee211bf0956ed:0x62c2fc5591bfffe4!8m2!3d-6.7166963!4d108.5386254!16s%2Fg%2F11c1vhmtcf!19sChIJ7VYJvxHibi4R5P-_kVX8wmI?authuser=0&hl=id&rclk=1","Pagaruyung Fotocopy Centre","3,8","(49)","Toko Fotokopi","·","·","Buka","· Tutup pukul 21.00","Jl. Cideng Indah No.24B","0852-2422-5262","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasinya tidak jauh dengan kampus STF Muhammadiyah Cirebon""",""
"https://www.google.com/maps/place/Sigma+Copy+Center/data=!4m7!3m6!1s0x2e6f1d5e0751a747:0xc40329ca50df23d8!8m2!3d-6.7348151!4d108.5517866!16s%2Fg%2F11gjs0f0l2!19sChIJR6dRB14dby4R2CPfUMopA8Q?authuser=0&hl=id&rclk=1","Sigma Copy Center","5,0","(2)","Toko Fotokopi","·","Jl. Kesambi No.94","Segera tutup","· 20.00 · Buka Sel pukul 08.00","·","0838-5330-3288","","Rute","","",""
"https://www.google.com/maps/place/Planet+Digital+Printing/data=!4m7!3m6!1s0x2e6f1d0066f21969:0x1f01840afe00f450!8m2!3d-6.7413355!4d108.5459981!16s%2Fg%2F11z6q6v197!19sChIJaRnyZgAdby4RUPQA_gqEAR8?authuser=0&hl=id&rclk=1","Planet Digital Printing","","","Layanan cetak digital","·","Jl. Kanggraksan No.40","Buka","· Tutup Sel pukul 05.00","·","0821-2429-2224","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/POTO+COPY+PENGGUNG/data=!4m7!3m6!1s0x2e6f1d3af04674d7:0x22bab0545afcd80e!8m2!3d-6.7509434!4d108.5400517!16s%2Fg%2F11gk4vfm6x!19sChIJ13RG8Dodby4RDtj8WlSwuiI?authuser=0&hl=id&rclk=1","POTO COPY PENGGUNG","","","Toko Fotokopi","·","Depan Rumah Dinas Walikota, Jl. Jenderal Sudirman No.9","Buka","· Tutup pukul 21.00","","","","Rute","","","Tidak ada ulasan"
