"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Po+Harapan+Jaya+Pal+%2F+Kelapa+Dua/data=!4m7!3m6!1s0x2e69eb75f3bbf08f:0x8e334285b6db743f!8m2!3d-6.35461!4d106.847338!16s%2Fg%2F1hf0rl0lv!19sChIJj_C783XraS4RP3TbtoVCM44?authuser=0&hl=id&rclk=1","Po Harapan Jaya Pal / Kelapa Dua","Perhentian bus","","Rute","·","Jl. Raya Bogor KM No.29"
"https://www.google.com/maps/place/Sewa+Bus+Pariwisata+Po+Haryanto+Depok/data=!4m7!3m6!1s0x2e69e994e63c2005:0x828f2ef51ab5ea1b!8m2!3d-6.4114084!4d106.8304177!16s%2Fg%2F11ql666nv1!19sChIJBSA85pTpaS4RG-q1GvUuj4I?authuser=0&hl=id&rclk=1","Sewa Bus Pariwisata Po Haryanto Depok","Layanan Transportasi","","Rute","·","Jl. Raya Parung Serab (KSU) Jl. Kp. Serab No.01"
"https://www.google.com/maps/place/Jl.+Pertanian+Depok/data=!4m7!3m6!1s0x2e69eece97542b8d:0xfa3814dfbec971e6!8m2!3d-6.37647!4d106.78652!16s%2Fg%2F11krtzgv3p!19sChIJjStUl87uaS4R5nHJvt8UOPo?authuser=0&hl=id&rclk=1","Jl. Pertanian Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Ramayana/data=!4m7!3m6!1s0x2e69ebe4b0d4bad7:0x7a6d8c15ee5b7cf!8m2!3d-6.39173!4d106.8249!16s%2Fg%2F11gnq88nv6!19sChIJ17rUsOTraS4Rz7flXsHYpgc?authuser=0&hl=id&rclk=1","Ramayana","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/D+Mall/data=!4m7!3m6!1s0x2e69ebfa3999aa17:0xc67d47d7c81b99a3!8m2!3d-6.3872!4d106.82736!16s%2Fg%2F1hc19vzcf!19sChIJF6qZOfrraS4Ro5kbyNdHfcY?authuser=0&hl=id&rclk=1","D Mall","Perhentian bus","","Rute","·","kav, Jl. Margonda No.88"
"https://www.google.com/maps/place/SMPN+7+Depok/data=!4m7!3m6!1s0x2e69ec877be82025:0x2d64c9e6e8c71374!8m2!3d-6.37226!4d106.86552!16s%2Fg%2F11hdlwqh_j!19sChIJJSDoe4fsaS4RdBPH6ObJZC0?authuser=0&hl=id&rclk=1","SMPN 7 Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/RS+Hermina+Depok/data=!4m7!3m6!1s0x2e69ebe73e952e7b:0xa8149acfcabc2b8b!8m2!3d-6.39994!4d106.82495!16s%2Fg%2F11f5g0fpq2!19sChIJey6VPufraS4Riyu8ys-aFKg?authuser=0&hl=id&rclk=1","RS Hermina Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Halte+Mall+Cimanggis/data=!4m7!3m6!1s0x2e69ec6408067685:0xf3a22c0826f34a7d!8m2!3d-6.3651116!4d106.8591148!16s%2Fg%2F1hc1s11lp!19sChIJhXYGCGTsaS4RfUrzJggsovM?authuser=0&hl=id&rclk=1","Halte Mall Cimanggis","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Seberang+SMAN+6+Depok/data=!4m7!3m6!1s0x2e69eed900ce0adb:0xbb90e728ad6b1657!8m2!3d-6.36974!4d106.77394!16s%2Fg%2F11s7_4b2_4!19sChIJ2wrOANnuaS4RVxZrrSjnkLs?authuser=0&hl=id&rclk=1","Seberang SMAN 6 Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Jl+Dewi+Sartika+Depok/data=!4m7!3m6!1s0x2e69e95fab0b1eff:0xcf9a3ac879e4cc46!8m2!3d-6.39946!4d106.81506!16s%2Fg%2F11fd567rx0!19sChIJ_x4Lq1_paS4RRszkecg6ms8?authuser=0&hl=id&rclk=1","Jl Dewi Sartika Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Komplek+Alam+Depok+Residence/data=!4m7!3m6!1s0x2e69e914114a8dc5:0x8ff0bddc3e28bd6d!8m2!3d-6.40682!4d106.78936!16s%2Fg%2F11fd566srx!19sChIJxY1KERTpaS4Rbb0oPty98I8?authuser=0&hl=id&rclk=1","Komplek Alam Depok Residence","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Depok+Baru/data=!4m7!3m6!1s0x2e69ebfccd1e9575:0x5f3db353a5488e31!8m2!3d-6.39113!4d106.82169!16s%2Fg%2F1223khbm!19sChIJdZUezfzraS4RMY5IpVOzPV8?authuser=0&hl=id&rclk=1","Depok Baru","Stasiun Kereta","","Rute","·",""
"https://www.google.com/maps/place/Pusat+Perbelanjaan+Depok+Jaya/data=!4m7!3m6!1s0x2e69e959cc513291:0xe71967b94489af1b!8m2!3d-6.3922939!4d106.8147394!16s%2Fg%2F11gtznrbfn!19sChIJkTJRzFnpaS4RG6-JRLlnGec?authuser=0&hl=id&rclk=1","Pusat Perbelanjaan Depok Jaya","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Halte+Cimanggis+Square/data=!4m7!3m6!1s0x2e69ec5e79ddb0d7:0x58401575114c6562!8m2!3d-6.3572068!4d106.8594756!16s%2Fg%2F1hc3q4zy5!19sChIJ17DdeV7saS4RYmVMEXUVQFg?authuser=0&hl=id&rclk=1","Halte Cimanggis Square","Perhentian bus","","Rute","·","RW.5"
"https://www.google.com/maps/place/Jl+Juanda+Depok+1/data=!4m7!3m6!1s0x2e69ec08db5c529f:0x18657b3ee1acfcc7!8m2!3d-6.37659!4d106.83185!16s%2Fg%2F11hdlws5j1!19sChIJn1Jc2wjsaS4Rx_ys4T57ZRg?authuser=0&hl=id&rclk=1","Jl Juanda Depok 1","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Depok+Jl+Ir+H+Juanda/data=!4m7!3m6!1s0x2e69eb876fc6192f:0xdd242a2681d4f6ac!8m2!3d-6.38065!4d106.857!16s%2Fg%2F11m710605p!19sChIJLxnGb4fraS4RrPbUgSYqJN0?authuser=0&hl=id&rclk=1","Depok Jl Ir H Juanda","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Depok+Jl.+Cinere+Raya/data=!4m7!3m6!1s0x2e69ee57d4c2895b:0xe43d1e82dee91d12!8m2!3d-6.3412905!4d106.7795815!16s%2Fg%2F11z522drkm!19sChIJW4nC1FfuaS4REh3p3oIePeQ?authuser=0&hl=id&rclk=1","Depok Jl. Cinere Raya","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/W/data=!4m7!3m6!1s0x2e69eb7fb62457e5:0xbf53f149c30bd784!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11b8_t2yy6!19sChIJ5Vcktn_raS4RhNcLw0nxU78?authuser=0&hl=id&rclk=1","W","Agen Tiket Bus","","Rute","",""
