"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6","M4A5Cf"
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+RejekiSM/data=!4m7!3m6!1s0x2e69edac0e0b5663:0x3cd732bb4eeb26f2!8m2!3d-6.3547973!4d106.8411705!16s%2Fg%2F11wtp9qvj2!19sChIJY1YLDqztaS4R8ibrTrsy1zw?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari RejekiSM","5,0","(14)","·","Rp 1–25.000","Restoran","·","Jl. Akses UI Jl. Klp. Dua Raya No.45","Tutup","· Buka Sel pukul 06.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNAI1bO1Ku1pLAPJSVkK6cEQNHKc4gxxRrAU-BurWh70u80p0wEcogpO5mmfchruqe9gWdVt4T6ShU9JW1GDz5Fi63KTHXQVpqRrOG04Ja2tLFVoj943BwbmPqA9SpuTlSQg1IBg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak dan sangat dekat dengan kampus gunadarma""","","","","",""
"https://www.google.com/maps/place/Warteg+Haway/data=!4m7!3m6!1s0x2e69ebff40dcabcb:0xb774b0e82dd42c79!8m2!3d-6.3823035!4d106.8225556!16s%2Fg%2F11cm016pq1!19sChIJy6vcQP_raS4ReSzULeiwdLc?authuser=0&hl=id&rclk=1","Warteg Haway","4,6","(181)","·","Rp 1–25.000","Tegal","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjARjRSruUr0NXftuDcpz3jR1mdcwE_WJCLLVcTio3i6jDoIunmZZKHxV9vB_3SBwehZa-vfp3O1aeZsmV2YfCHBCVrbpXONEfCsVt3Izo2bQ01Htiqf_B31jo2UOE0iQnIhA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","favorit dr jaman mahasiswa 2014
Orek nya enak
Harga murah""","","Jl. Ridwan Rais No.72",""
"https://www.google.com/maps/place/Soto+Shinta/data=!4m7!3m6!1s0x2e69ec21d8b62655:0xfb5d779e3d71ad4b!8m2!3d-6.3599993!4d106.8215929!16s%2Fg%2F11b5qzy_3b!19sChIJVSa22CHsaS4RS61xPZ53Xfs?authuser=0&hl=id&rclk=1","Soto Shinta","4,2","(111)","·","$","Tegal","·","·","Segera tutup","· 22.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdoarVQbn9xACL737QewJusGIORmpB7bG9GQHJkk0uWWNeZtC76Ba-B2We77GYFse9P20Or-Cx3A9dFHsGox8qTYH-j5At7CQfukLbNSRK6bQg8rgPLYriIXXwhrSE7Pk_2F6h=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","dengan rasa terlezat""","","JRRC+2J4, Jl. H. Ahmad",""
"https://www.google.com/maps/place/Warteg+Subur+Makmur+24+Jam/data=!4m7!3m6!1s0x2e69ebc105ff1fe3:0x12f051db3ae421c7!8m2!3d-6.4040106!4d106.8379753!16s%2Fg%2F11hdb3lmm4!19sChIJ4x__BcHraS4RxyHkOttR8BI?authuser=0&hl=id&rclk=1","Warteg Subur Makmur 24 Jam","4,2","(99)","","","Tegal","·","Jl. Tole Iskandar No.50","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkMX9kBB5waSrufJSjFUldGxbGHBIoBO3JaSofgHAjbMbhBQmraONBUD6dRwzNW_wnkfOOsS54PgXlH-dWHi-7wtJB4nyf41h5v-jxE8h7Q9y5uRb_lcR9AUHcwFDrGXn9BS5SSA=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","","·"
"https://www.google.com/maps/place/WARTEG+BUDEH/data=!4m7!3m6!1s0x2e69ec40aa763ff1:0x5c0c70ece3b72342!8m2!3d-6.3552067!4d106.8396514!16s%2Fg%2F11dx9f45z7!19sChIJ8T92qkDsaS4RQiO34-xwDFw?authuser=0&hl=id&rclk=1","WARTEG BUDEH","3,6","(7)","","","Tegal","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPDfojCZbh4rnlqBx7GCjrnuG70h7MelbeHNe7o452KaVJOiLB_2KXsYK6ngfm9mciQ8InBa34sQYyshlY0d9RNLBWjfkWGYL0MJ3iVbbjx5djBBNYSPSn2YtqA35YTSC1Wvj8nA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""best sejalan depan kampus gundar""","","","","Blok, Jl. Akses UI Blok a No.26",""
"https://www.google.com/maps/place/Warteg+Subsidi+Bahari/data=!4m7!3m6!1s0x2e69ef4150b86ecf:0x612857a651570228!8m2!3d-6.3690434!4d106.8108238!16s%2Fg%2F11h7bw5m5g!19sChIJz264UEHvaS4RKAJXUaZXKGE?authuser=0&hl=id&rclk=1","Warteg Subsidi Bahari","4,3","(94)","·","Rp 1–25.000","Tegal","·","JRJ6+98P, Jl. Bungur Raya","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIvSvFnKkI5L2CVeXjJRDFAziVjz3prZHb1PR-dcUE5RxBrqB6W-7xiJtv7baNYZS6-1g6ArblwxfnFyxVMpltLhrdD3DwN_3ZTBCsvYJykJkMKhzhz1SyFBxZA6XrH8iJIc1q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan lumayan (biasa), tempatnya enak cukup lega namun agak sepi.""","","","","",""
"https://www.google.com/maps/place/Warteg+Citra+Mandiri+Bahari/data=!4m7!3m6!1s0x2e69ed005a5e6ed3:0xf0245d559bedcf3d!8m2!3d-6.355115!4d106.843079!16s%2Fg%2F11wn20_kzy!19sChIJ025eWgDtaS4RPc_tm1VdJPA?authuser=0&hl=id&rclk=1","Warteg Citra Mandiri Bahari","5,0","(4)","","","Brunch","·","JRVV+X64, Jl. Akses UI","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAtFy4WGaQ2qJ4FH1ixFBh25skvPTTigfv4hzJbykjU3U6xF36lXDB9Rp64srXo7O1sBeICX39223Y2tizbyy9NLy5oSYxJfUqOPrQyOwUEMvD_akCIx6aGJNBP2okgaOkX50oCanYIWI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gue rekomendasi buat seluruh ojol wartegnya harga muraahh meriah""","","","","",""
"https://www.google.com/maps/place/WARTEG+MAMOKA+BAHARI/data=!4m7!3m6!1s0x2e69e99f81f8e681:0xd1aee08088e66b33!8m2!3d-6.3871523!4d106.8141696!16s%2Fg%2F11h74bjdjh!19sChIJgeb4gZ_paS4RM2vmiIDgrtE?authuser=0&hl=id&rclk=1","WARTEG MAMOKA BAHARI","4,4","(212)","·","Rp 1–25.000","Tegal","·","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3hq0x6kojN_usjp3WzyQKUA7N_nqR8FUbgHFi-Thf-tGfV7PXZ1THM_CkgZ3AyvACXXvrlmL2GnHLbqAIu8aqo-ltOcJJ4DksYx5Pt50wkJZA-xuSxaHawBC5oSXN7C3nmfwX=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""selain tempat makan bisa juga untuk tempat ngopi² bareng dengan teman².""","","","","",""
"https://www.google.com/maps/place/Warteg+Fatih/data=!4m7!3m6!1s0x2e69ec47491bfff5:0xb42da2f9e8d627e2!8m2!3d-6.3544351!4d106.8426955!16s%2Fg%2F1ptx5rdxh!19sChIJ9f8bSUfsaS4R4ifW6PmiLbQ?authuser=0&hl=id&rclk=1","Warteg Fatih","4,4","(12)","","","Tegal","·","·","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGE5kPEF8mXWqf6nettFqJFPKTyxHtFRluRwNECNgaeDIHtbXclEaYs3SBra5d8baaI2Wnze01gWKAAyYa0jrUZnv3yfvKqcQnIFjMQpERWpKd-et4X1kqNwECHUDgJCtUw2qk=w80-h106-k-no","","Makan di tempat","Bawa pulang","","","Jl. Nusantara No.15 A","·"
"https://www.google.com/maps/place/Warteg+Rahmah/data=!4m7!3m6!1s0x2e69ec3f546fb105:0x1856ce9b3d6aee48!8m2!3d-6.354562!4d106.8397783!16s%2Fg%2F11bz_2w_m6!19sChIJBbFvVD_saS4RSO5qPZvOVhg?authuser=0&hl=id&rclk=1","Warteg Rahmah","4,3","(7)","","","Brunch","·","·","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXhw_LgoqLDKCu_FmgaO_bA0UKNUV43ejkLfJW42iGXPBszwBMD0lBa-XK4UWcRE8aD46DjlnzivOUd7wOzJ-tmHyGvaw61FAWW6HknQ-61h5mTJbfbtbxaaHb6S_0YOirRAqp=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","Jl. Akses UI No.20, RT.2/RW.9","·"
