"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/favehotel+Margonda+-+Depok/data=!4m10!3m9!1s0x2e69ebfa4fda5249:0xe9cb66f39204f122!5m2!4m1!1i2!8m2!3d-6.3879938!4d106.8274744!16s%2Fg%2F11c5r4yr0b!19sChIJSVLaT_rraS4RIvEEkvNmy-k?authuser=0&hl=id&rclk=1","favehotel Margonda - Depok","4,5","(7.134)","","","Hotel bintang 3","Hotel elegan dengan kamar sederhana","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgW9-oOVjAb8Q_KHBsGZylwLJGnMku6zPNF4UWzMKjf5_kHPD29l46hyTMA4VARFL5Y-zwLl2kMz5HFYnc2EcOvOUQVjDhIJwG1t7yCf1hNariCVLaTdjc2ibG6qtRHUDWSsoshQ=w133-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyaman, makanannya enak, bersih.. staff ramah dan responsif.""","","","","","","",""
"https://www.google.com/maps/place/Stasiun+Universitas+Indonesia/data=!4m7!3m6!1s0x2e69ec3d61f5bcb1:0xa52daf86c7985567!8m2!3d-6.3607467!4d106.8317358!16s%2Fg%2F120q6_hk!19sChIJsbz1YT3saS4RZ1WYx4avLaU?authuser=0&hl=id&rclk=1","Stasiun Universitas Indonesia","4,4","(985)","","","Stasiun Kereta","·","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcEVO6peyGljWkiNT_YFiN5PdeGshWmFs2m4SUvNfs92EXHYiOUYQiTCbhu0cz91jjMFj_DKCPFuF-xqfwwbg1FqJ1d5O18-b-6XIFFyUUIGT4h4TSzx5YUo_RagdYsOQ_OkSYSQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gabanyak jajanan cm ada alfaexpress kalo mau jajan2.""","","","","","","",""
"https://www.google.com/maps/place/Raa+Cha+Dmall+Depok/data=!4m7!3m6!1s0x2e69ebef8d8cde3b:0xfa115680af3c19b8!8m2!3d-6.3869472!4d106.8261905!16s%2Fg%2F11f6kzw1vs!19sChIJO96Mje_raS4RuBk8r4BWEfo?authuser=0&hl=id&rclk=1","Raa Cha Dmall Depok","4,6","(465)","","","Shabu Shabu","","","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEq3q19dsbV9LzgA5E_4a8qQiqaRZnll_Vz7LqTwVKmzVRZdAE_TH0TtmcJsjpksXFNQqEL3mW1NwbrI9geep2lg1CKj67R4vumEadKV4WcD00gOjwJhEgxU7Mjk6aGkkHZTMqFOw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa kuah spicy memang pedas tapi tawar, perlu ditambahin bumbu sendiri.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmNmt6dzF2cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Va34abHeIa6enesPqaTpAQ&ei=Va34abHeIa6enesPqaTpAQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Lava+Toast+UI/data=!4m7!3m6!1s0x2e69ed34c26a174b:0xa0f2e66c469e0f4b!8m2!3d-6.36785!4d106.8199979!16s%2Fg%2F11l59l3_rb!19sChIJSxdqwjTtaS4RSw-eRmzm8qA?authuser=0&hl=id&rclk=1","Lava Toast UI","5,0","(8)","·","Rp 1–25.000","Toko Roti","·","Jl. Palakali No.70D","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGnLUoLudgjz38m9BD0WDa7CThj5NAcBgU4S2byahrm8uEZyqVRx70sBZWJa9rg2cY2K8crbpaZ37tXSUpvR6sOv_Q9tKRmX_GXvuz5sKtNz-fxbmegVc4CzBB7FNe0zLmZKb5mzL9tbNo=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kebetulan aku pesen yang beef dan telur, teksturnya asik.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsNTlsM19yYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Va34abHeIa6enesPqaTpAQ&ei=Va34abHeIa6enesPqaTpAQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Soto+Ngawi+Margonda/data=!4m7!3m6!1s0x2e69ec111541ef73:0xf5b11e000a6da1e2!8m2!3d-6.3686444!4d106.8342308!16s%2Fg%2F11hb46rlcs!19sChIJc-9BFRHsaS4R4qFtCgAesfU?authuser=0&hl=id&rclk=1","Soto Ngawi Margonda","4,4","(560)","·","Rp 25–50 rb","Soto","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDRktxpDu1FstIoyigXafSvHirwyhKzjwqijuNUjR08O0F2XW6zXdihE4RkPSNn8UmcyVNchqY07TAShBFAS2_e4Dkrjhx6lvfeeF-aXsO_V_7HboQYMmeBPSY69B5W6XypJjq4A=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayam gepuknya juara, kuah tongseng enak, harga aman di kantong.""","","","","","Jl. H. M. Tohir, RT.2/RW.1","",""
"https://www.google.com/maps/place/Dapur+Klapa+2+-+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e69edf9164ce967:0xecae436f6048a5b3!8m2!3d-6.3545609!4d106.8397285!16s%2Fg%2F11ddwz4v4g!19sChIJZ-lMFvntaS4Rs6VIYG9Druw?authuser=0&hl=id&rclk=1","Dapur Klapa 2 - Cafe & Resto","4,2","(47)","","","Restoran","·","Jl. Akses UI No.45","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1hS9KBOoS7WWTLr96YZwNLcvb1-IpuMc_ykXDvJ90kO4V1vu3zVP_nl8ugDdHiTq_wGrVdXVnDj2PfrfCZsyL4PWFIROwnU6KdgLJe2K4AwzQK7bFmYRaPMcDDMfrAAZCuDia=w163-h92-k-no","","Makan di tempat","","","","","","Bawa pulang","Antar tanpa bertemu"
"https://www.google.com/maps/place/Roemah+-+Coffee,+Eatery,+and+Hub/data=!4m7!3m6!1s0x2e69edaf504cb9d3:0xfae7ce6e668fa26b!8m2!3d-6.3621378!4d106.8332865!16s%2Fg%2F11j3ndmjm0!19sChIJ07lMUK_taS4Ra6KPZm7O5_o?authuser=0&hl=id&rclk=1","Roemah - Coffee, Eatery, and Hub","4,4","(392)","·","Rp 25–50 rb","Restoran","·","Jl. Margonda No.505. Kel","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqyWCM3K2WavpHs32oCk9S6masZssDNk-WpNZqcW2-3Y4dXlFnInxolWdlRRsJ0QYfhAIs5gaaLPlIFAp6iG2N7ygKnUz3fZlG3Gz973MXyg1plxP9cLvhEdbtuuWuPijlJ56A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Foodnya ga bisa dibilang enak, tapi nasi goreng spesialnya lumayan.""","","","","","","",""
"https://www.google.com/maps/place/Teras+Atas+Depok/data=!4m7!3m6!1s0x2e69ed5a07560a6b:0xc3bc52d0c273d579!8m2!3d-6.3502441!4d106.854292!16s%2Fg%2F11sf91s6nj!19sChIJawpWB1rtaS4RedVzwtBSvMM?authuser=0&hl=id&rclk=1","Teras Atas Depok","3,7","(118)","·","Rp 1–25.000","Restoran","·","Jl. Setu Pedongkelan No.1, RT.1/RW.5","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEe70cm9J2yOMLS9bofZnsqmWoszoLB_tUVYVyIu5R5YtCCbw_y3-r_P_9B1evABhRYWgpsl-cpUyuZPvjtXZ0YIjJ5l2Fex0_6VjS3t8MayU0K_lgeIj3r8EsEKyVJyg3sOAaXLsd1DYCh=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Klau siang panas banget
Makanannya lumayan enak dengan harga murah""","","","","","","",""
"https://www.google.com/maps/place/Danau+Kenanga/data=!4m7!3m6!1s0x2e69ec10986385bd:0xb60b8f13ae5dea66!8m2!3d-6.3667538!4d106.8302115!16s%2Fg%2F11b7twzz81!19sChIJvYVjmBDsaS4RZupdrhOPC7Y?authuser=0&hl=id&rclk=1","Danau Kenanga","4,7","(1.376)","","","Taman","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTsaGhsP-8rH5wpDDMpCZvI4Jlc4wySMvdrKL8bHUGHBbiEyqOWggYvr_SqAFukPuFwNnjacPmda9my3IQcCYNYYG3kJb1ACoMZCmyr9-jufWYhFH5BPLyhKlD_GwQ0tX3_EE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dipake ngelamun atau mungkin sambil ngemil jajanan.""","","","","","Jl. Prof. DR. Mahar Mardjono","",""
"https://www.google.com/maps/place/Kotak+Coffee+@Depok/data=!4m7!3m6!1s0x2e69edcd47c52d19:0x927690baf54f75aa!8m2!3d-6.3618738!4d106.8337895!16s%2Fg%2F11r7xvsnnd!19sChIJGS3FR83taS4RqnVP9bqQdpI?authuser=0&hl=id&rclk=1","Kotak Coffee @Depok","4,5","(1.109)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Margonda No.488","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKVvESLd9KuJOrLO0_wdp7tvKe7_LgSGjVgw7q2hB246yiIn_a3wYPxihxQSAUt3hP2Jza-KY5XUuHlOXLRkgaw1wexBhGZ0xTO0hBU84mth1mf2LJEe8vVHFvEJP3pFngDzij=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pilihan makanannya oke oke dan rasa matchanya enak sekali.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyN3h2c25uZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Va34abHeIa6enesPqaTpAQ&ei=Va34abHeIa6enesPqaTpAQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Kantin+MM+Chinese+Food/data=!4m7!3m6!1s0x2e69ec163d14f5a5:0x94ddcec26ee7bb6f!8m2!3d-6.3609041!4d106.8339579!16s%2Fg%2F11cnphmjrv!19sChIJpfUUPRbsaS4Rb7vnbsLO3ZQ?authuser=0&hl=id&rclk=1","Kantin MM Chinese Food","4,3","(47)","·","Rp 1–25.000","China","·","Jl. Kober No.3","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrRk7qK7gRyqkgf3jyJid7yWONHTnuMkAePZOfLcXZksk3z0VAwGGV4mIVysah97SIC3lVA1oE4fbFIyc0EHjeZvTuSYDtwTlNu5cGhkYlYoGV80ncY0f8EXZOSY8OmBuGU9u6=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mie ayamnya juga enak sih.""","","","","","","",""
"https://www.google.com/maps/place/Danau+Mahoni+Depok/data=!4m7!3m6!1s0x2e69ec18671be8f9:0x681088831c71e75e!8m2!3d-6.3615461!4d106.8271747!16s%2Fg%2F11dxj5w3bz!19sChIJ-egbZxjsaS4RXudxHIOIEGg?authuser=0&hl=id&rclk=1","Danau Mahoni Depok","4,6","(25)","","","Tujuan Wisata","·","Universitas Indonesia, Kampus","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYdcd8KjjJhYzjgdWP3PaQCSNXKdbF8TlTruMvpKnJZtLm6aANKFDvujm1bJ_PkQMwNrPEw81BrK65IViHsF81Y1B319Fn-OdMachPIE1IAzB2uf1JK0m6k-X5r5OJxzTA1IJIHw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""boleh mancing nggak""","","","","","","",""
"https://www.google.com/maps/place/Rehat+%26+Singgah/data=!4m7!3m6!1s0x2e69ed04c948247f:0x17693e939dc2cb62!8m2!3d-6.3541306!4d106.8393365!16s%2Fg%2F11qq6fsk1w!19sChIJfyRIyQTtaS4RYsvCnZM-aRc?authuser=0&hl=id&rclk=1","Rehat & Singgah","5,0","(15)","","","Kedai Kopi","·","JL Akses UI Gg Pamaan Kelapa Dua RT 02/09 No.39","Segera tutup","· 22.00 · Buka Sel pukul 15.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzEwszZXjlNW9xG5cj4vYfuyXN3kVgj8BeBIV4aIwazJ5m0Mkr_jMiaIVOzzNttw8Ylk8fWwCzp3w6YmdVnKBdTBHe5ysa7Cp1n6Ii2PsIs1_RNzoT9NX2v13uuso8rrXPB_uL=w163-h92-k-no","","Makan di tempat","","","","","","Bawa pulang","Pesan antar"
"https://www.google.com/maps/place/Sociall+Listening+Space/data=!4m7!3m6!1s0x2e69ed69f6a1d68f:0xad24c3ca7f38e275!8m2!3d-6.3615164!4d106.8254479!16s%2Fg%2F11lv1_ppdd!19sChIJj9ah9mntaS4RdeI4f8rDJK0?authuser=0&hl=id&rclk=1","Sociall Listening Space","5,0","(10)","·","Rp 25–50 rb","Kedai Kopi","·","Fakultas Ekonomi UI","Tutup","· Buka Sel pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGA_lH7y7dmmSG0XORvMs_aNKg55Lzu8PlQ1XWwaKn2WzaXJM9jE9-s-SVlM7txn-4zZQJULfRl4ypm7vgguFqjQsnCkk7oKaL7nOaFNChn5JTZJxoZhujiN5KUQmua42bNXsTF=w80-h128-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended banget buat mahasiswa UI yang cari suasana beda!""","","","","","","",""
"https://www.google.com/maps/place/Dapur+Solo+-+D%27Mall+Depok/data=!4m7!3m6!1s0x2e69eb3827d4e703:0x763ed07d72bea53f!8m2!3d-6.3865756!4d106.8267387!16s%2Fg%2F11h2208bbn!19sChIJA-fUJzjraS4RP6W-cn3QPnY?authuser=0&hl=id&rclk=1","Dapur Solo - D'Mall Depok","4,6","(350)","·","$$","Restoran","·","Mall Depok, Jl. Margonda Raya No.88 Lantai GF","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbOEUCztemFETf2NVwXr67YRa6Ve-w3aowXGSO9m3AieS8uJpStNBKy1GVZ4YVpIa5wOC-73XLwnpaAxevX86KoGU1vWgGqjCXU6ntBLgMaWqs7R9vtqSxFr1e9wcqyE_cWWWY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih dan nyaman, pelayanannya bagus dan makanannya juga enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMjIwOGJibhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Z634adSUGueOseMP2I3WsQg&ei=Z634adSUGueOseMP2I3WsQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Larasha+food+Margonda+Depok/data=!4m7!3m6!1s0x2e69ed71a5691d13:0xa2801033c58944b3!8m2!3d-6.3740806!4d106.8318878!16s%2Fg%2F11tg6kbk2k!19sChIJEx1ppXHtaS4Rs0SJxTMQgKI?authuser=0&hl=id&rclk=1","Larasha food Margonda Depok","4,3","(11)","","","Katering","·","Jl. Margonda Gg. H. Atan No.10, RT.:04 RW:12","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrXFlnHtMRAlxRbOuXzt5COBQMg9UzSVW2_yr6VvF2MDfW81qCqH8G0gy_-hkMIPpL55GLe1-iPVId6gFcQqLt7qW64Vd-m4COV_v_iYvmVXxmkKM9ue1cVBSaVN7khCCKqbk7rw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya bersih, orang2 nya ramah makanannya enak2""","","","","","","",""
"https://www.google.com/maps/place/Mie+Ayam+86+Ui/data=!4m7!3m6!1s0x2e69ec21d8e4a2bd:0xb2a5e2a32b0b3e9a!8m2!3d-6.3605523!4d106.8219413!16s%2Fg%2F11cm714q5y!19sChIJvaLk2CHsaS4Rmj4LK6PipbI?authuser=0&hl=id&rclk=1","Mie Ayam 86 Ui","4,0","(4)","","","Mi","·","Jl. H. Amat No.16","Buka","· Tutup pukul 23.00","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","Makan di tempat","","","","","","Bawa pulang",""
