"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Kantin+Matoa+FKM+UI/data=!4m7!3m6!1s0x2e69edc429d9d905:0xb8e2c8d88a285f4e!8m2!3d-6.3708722!4d106.828915!16s%2Fg%2F11l2j91qg8!19sChIJBdnZKcTtaS4RTl8oitjI4rg?authuser=0&hl=id&rclk=1","Kantin Matoa FKM UI","3,9","(10)","·","Rp 1–25.000","Pujasera","·","Universitas Indonesia, Fakultas Kesehatan Masyarakat","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbULrV4FlQft9sqxwRGCLBecrO6IblcR4e9IEviKI9ltOcwMZ2xwsoqyqlAoz27Uz8KHWytKEP7p9sgJLISubZz3nxhaDxLSESNgnTL1YQ2jq6Zw14afb3X-WLg5rI6b1E6aeI=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih, murah, enak, halal 👍😋""","","","","","","",""
"https://www.google.com/maps/place/Burger+King+DMALL+depok/data=!4m7!3m6!1s0x2e69eb666df8374d:0xbcccca32c92c90b3!8m2!3d-6.3868219!4d106.8262874!16s%2Fg%2F11g1zj6wnq!19sChIJTTf4bWbraS4Rs5AsyTLKzLw?authuser=0&hl=id&rclk=1","Burger King DMALL depok","4,8","(1.079)","·","$$","Makanan Siap Saji","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOf_eTeutcIdULFcYrG7wWQKkOKcuNVE3jS7r1H9MyWysgrAjOwhXR5p_Exy_blHgss4fpUnn1iQRC7OLjxXJJGDo2TR4_P4-JNPTTKatK6y-zNmM2hUKb7bgipvr64N9NHO5K=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak banget, harganya masih terjangkau murah""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnMXpqNnducRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=uK34aY64MMehnesPhpOTgQE&ei=uK34aY64MMehnesPhpOTgQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Solaria - Depok Mall, Jl. Margonda No.Kav 88","",""
"https://www.google.com/maps/place/Dapoer+Djoeang+Margonda/data=!4m7!3m6!1s0x2e69ed5aabb70009:0x3a51abcbe476637a!8m2!3d-6.3618772!4d106.8337864!16s%2Fg%2F11pqcjk7cz!19sChIJCQC3q1rtaS4RemN25MurUTo?authuser=0&hl=id&rclk=1","Dapoer Djoeang Margonda","4,7","(936)","·","Rp 25–50 rb","Restoran","·","·","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhydV_gzrMggopZIlMBek3yJzLIcZp3aiA5Y9FgWpG7VYOZ3AXvsNDankx_KlgJHJ28KG7ZdnUspnNP1mRm8uwXSUnATAOCdIh0v-rdNOj5zDxhe41O3xmEVumaYGL8YwZ0fr5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya nyaman, adem, makanannya enak & harganya terjangkau juga.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwcWNqazdjehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=uK34aY64MMehnesPhpOTgQE&ei=uK34aY64MMehnesPhpOTgQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Margonda No.488","",""
"https://www.google.com/maps/place/A%27Hay+chicken+and+burger+Akses+UI/data=!4m7!3m6!1s0x2e69ed002272081f:0xad9f53ea971c0383!8m2!3d-6.3546624!4d106.8348134!16s%2Fg%2F11y0rrckwf!19sChIJHwhyIgDtaS4RgwMcl-pTn60?authuser=0&hl=id&rclk=1","A'Hay chicken and burger Akses UI","3,0","(2)","","","Makanan Siap Saji","·","JRWM+4WP, Jl. Akses UI, RT.2/RW.1","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-ExpbEo-mNbD_AutoFHJvF8GCv0eRL2-CzfgcToC06TW1gZgqV_YsRlK2M4G--pK_57Gf6A1qGVm-tvKUgIvh62EwBMTqxN0Nb9GBOvjxQlYPQpzF34QE7vuLr7DJj7txu46VtXyiNe9E=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wah wenak nyo keriuknya jos""","","","","","","",""
"https://www.google.com/maps/place/Universitas+Indonesia/data=!4m7!3m6!1s0x2e69ec1a804e8b85:0xd7bf80e1977cea07!8m2!3d-6.3606229!4d106.8272343!16zL20vMDF6bHJ2!19sChIJhYtOgBrsaS4RB-p8l-GAv9c?authuser=0&hl=id&rclk=1","Universitas Indonesia","4,7","(7.304)","","","Universitas Negeri","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCtRRKhJTCfUHN0rJ92EaJEPhyP9Js0URq8Uqy5KPQx4rJ1IzQqL85wKOhkPgmMwO3ps2nI8XtEnHOXwzEPytAwI1y0_2AHas9Z72P0bbiKWgtW18ckFSzsz2dRTpjeFjqCenosA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih..udaranya segar...cocok buat menuntut ilmu""","","","","","Jl. Lingkar","",""
"https://www.google.com/maps/place/Sakura+Japanese+Food+-+Depok+Margonda/data=!4m7!3m6!1s0x2e69ebf786e58445:0xf696ee49b2b5d3cc!8m2!3d-6.3827942!4d106.829958!16s%2Fg%2F11b6sz9t4f!19sChIJRYTlhvfraS4RzNO1sknulvY?authuser=0&hl=id&rclk=1","Sakura Japanese Food - Depok Margonda","4,4","(668)","·","Rp 25–50 rb","Jepang","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwwlqQpC-x0dlG6yuH3qVkr5B4op5VhnvGDWO2g-C8RtzeB4B6H_8TmGpC6h5htmdLRNh32oVfdw8Z5qcNq1kLrJ1g_-uUpZqrLLow2vzPnt45gP9yTThqHYDQCvi-lyhKaGkQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanyaa enaak yg chicken teriyakinya, chicken katsunya lumayan.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNnN6OXQ0ZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=uK34aY64MMehnesPhpOTgQE&ei=uK34aY64MMehnesPhpOTgQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Margonda No.214B, RT.1/RW.12","",""
"https://www.google.com/maps/place/Tempat+Makan+Kimpul/data=!4m7!3m6!1s0x2e69ec16d921177f:0xf4ad9ccd0781712f!8m2!3d-6.3643124!4d106.8328946!16s%2Fg%2F11crz2035z!19sChIJfxch2RbsaS4RL3GBB82crfQ?authuser=0&hl=id&rclk=1","Tempat Makan Kimpul","4,6","(258)","·","Rp 1–25.000","Restoran","·","·","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLREX_27xrEAY_xrGXvZmS87XUVy_M6CivJLyWSD3YyVz8SwLJ8Hp-dSY_EUZqBGFkU7E70U-R7cyjPr7PdMVSD-1ptzTGhrggr_B3EX0SKjMyAgfN82C3UzGuEUhIkHHyAZKG=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak buat santuy, nasi gorengnya enak dn murah""","","","","","Jl. Cengkeh No.17B","",""
"https://www.google.com/maps/place/Makaroni+Ngehe+Echo+Depok/data=!4m7!3m6!1s0x2e69ec11df3458f3:0xfc95eea523836535!8m2!3d-6.3702751!4d106.8336226!16s%2Fg%2F11hctj42xf!19sChIJ81g03xHsaS4RNWWDI6Xulfw?authuser=0&hl=id&rclk=1","Makaroni Ngehe Echo Depok","4,5","(1.170)","·","Rp 1–25.000","Makanan Siap Saji","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGzkGnkVmLjbil_mSPncot00cpjv4BTcz5RHWF0PfZZbFAYPlwI8emdxunNIybMpqr_6abiNAyAFJ6-u1MRfn9vH2oVAYXzS-XEg4JjrmasJ7TYg40VjCA2WswXPryhOdrq4g7=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bumbu makaroninya enak banget bikin nagih.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoY3RqNDJ4ZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=uK34aY64MMehnesPhpOTgQE&ei=uK34aY64MMehnesPhpOTgQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Margonda No.397","",""
"https://www.google.com/maps/place/d%27BestO:+Chicken+%26+Burger/data=!4m7!3m6!1s0x2e69e954da5fb6f3:0x36254f488ce1ff4e!8m2!3d-6.3851766!4d106.8146634!16s%2Fg%2F1ptzvtx16!19sChIJ87Zf2lTpaS4RTv_hjEhPJTY?authuser=0&hl=id&rclk=1","d'BestO: Chicken & Burger","4,4","(260)","·","Rp 1–25.000","Makanan Siap Saji","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBq4QL93RmmiF_ocaAhXDklVkmXGF33yxbXzaly7IHpV9C1ReR8To75OM6RzkV1WIQPTgv_fHr3Fe4fK-SoP3lFPTexuuEyRFjChtJqf74JCR-8lzwzjyJktBo834KE6j5dba7=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan murah""","","","","","Jl. Kecipir No.191","",""
"https://www.google.com/maps/place/Kantin+Sastra/data=!4m7!3m6!1s0x2e69ec19a15342af:0xbf248ed0df3d6e05!8m2!3d-6.3639319!4d106.82703!16s%2Fg%2F11bxg01hw7!19sChIJr0JToRnsaS4RBW4939COJL8?authuser=0&hl=id&rclk=1","Kantin Sastra","4,5","(383)","·","Rp 25–50 rb","Kafetaria","·","Universitas Indonesia","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGiE1_O8GsUwZfwL7gw6GRnWy8tCcharBFqJWlW7P6xWoifvJQSAnKRCw4iyHSg_Y-nBdtfzsUtmt09LALcDvWujy2BH_6-lpy8QyatYOwgoq66KjoPSwHjOSLWuoioGNRXZu9M=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bumbunya meresap, sambalnya pedes pol dan murah!""","","","","","","",""
"https://www.google.com/maps/place/Ayam+Forever+Akses+UI/data=!4m7!3m6!1s0x2e69edf34d0ef677:0x990894e0c42123a6!8m2!3d-6.3552953!4d106.8512795!16s%2Fg%2F11tc10h0gs!19sChIJd_YOTfPtaS4RpiMhxOCUCJk?authuser=0&hl=id&rclk=1","Ayam Forever Akses UI","5,0","(4)","","","Makanan Siap Saji","·","JVV2+VGJ, Jl. Komjen. Pol. M. Jasin","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6ifD36cfd95uAb9tBJjnzejDI0fcDufAjHGk-cJY40PDa-Js86i7FZIfoD3ZwHJGxxzZt4a3YKXPjNZ78wgTNtIT5x7-D8rjnyjsgXbjrpFyxGm57MQ1dB3nXFybiB41GUj3JrQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good food, good price, good taste... Di jamin ketagihan ..""","","","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e69ec412ae03ebb:0xc3b275780e5b890!8m2!3d-6.3545575!4d106.8456673!16s%2Fg%2F11byykfb0m!19sChIJuz7gKkHsaS4RkLjlgFcnOww?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,5","(703)","·","$$","Stan Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFxVzEpKNusg-_UC0EL3GXXcNf8mmlr-U3II-Xq4XxP0MA6g1rC9k5Oq0uauEZpVUt3mAYUz5C7ESxOERIeG5vFRCnqCzGMaf4lluDa45AUPIec-4hX92tlls3Bxvjx8JvSvA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap mie ayam na pedas
Nasi Goreng nya pas gak banyak minyak nya""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFieXlrZmIwbRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=wa34aZX_H5CaseMPh66o4Q8&ei=wa34aZX_H5CaseMPh66o4Q8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Akses UI No.46","",""
"https://www.google.com/maps/place/Fish+Streat/data=!4m7!3m6!1s0x2e69ec0a3e38fefd:0x87690534b66ca57e!8m2!3d-6.3648182!4d106.833554!16s%2Fg%2F11c6s6qych!19sChIJ_f44PgrsaS4RfqVstjQFaYc?authuser=0&hl=id&rclk=1","Fish Streat","4,4","(4.023)","·","$$","Grosir Hidangan Laut","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKOtdpk9CXnLuEHKAxvbdmY6HmghmcBAxq7fmFro3NKpnQygqh1HQYcfbBcQdeLzZkdt8lO2cQ64hAs5lqH7Dl6x01LwWdhgBLa7MzSI_t9kxe5sPx_9G8vbKbgOXhxBfeHCMB=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, fresh, servicenya Ok bgt""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNnM2cXljaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=wa34aZX_H5CaseMPh66o4Q8&ei=wa34aZX_H5CaseMPh66o4Q8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Margonda No.477","",""
"https://www.google.com/maps/place/REDDOG+Jalan+Akses+UI/data=!4m7!3m6!1s0x2e69ed0064f07bdb:0xe43a6bb638197e28!8m2!3d-6.3546958!4d106.8453417!16s%2Fg%2F11yhwwg9mb!19sChIJ23vwZADtaS4RKH4ZOLZrOuQ?authuser=0&hl=id&rclk=1","REDDOG Jalan Akses UI","5,0","(7)","·","Rp 25–50 rb","Pusat jajanan kaki lima","·","Jl. Akses UI No.46","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHskuGWp3mdyyRA84bys6qdAVDoOcdUn_nw4ZAd8ZmdQ5VFrh0ofFX1wsRlmRueWT1jRT9ZnLSLUd3FUTmgr8nYbJvT43u_McIwJA98fhwI3eRA4fnVOstZV07LqHDQWBmGQyUa4nqrCC98=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5aHd3ZzltYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=wa34aZX_H5CaseMPh66o4Q8&ei=wa34aZX_H5CaseMPh66o4Q8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","Makanan","enak dan bervariasi.."""
