"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Alchemy+Life/data=!4m7!3m6!1s0x2e3b770055407ee5:0x249d0c18674d347a!8m2!3d-2.9663431!4d104.7635344!16s%2Fg%2F11vq38m3fw!19sChIJ5X5AVQB3Oy4RejRNZxgMnSQ?authuser=0&hl=id&rclk=1","Alchemy Life","5,0","(206)","Studio Pilates","·","","Jl. Bangau No.171 D-E","","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVlq0i7R9ipt-dAObT3kDLyL3wrTuDCW-rDEwEmrU39rGfBd8r7BEMoG96fTYXPX53T2rIqaCoZpj8UC8GFVOjBBIJ3PIEN7lUGgGl80zGkZTxQighKHzt-Aa2bFImbcASziWs0E4KfA0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""untuk tempatnya juga nyaman cocok buat yang mau pilates.""","",""
"https://www.google.com/maps/place/Kyoso+Gym/data=!4m7!3m6!1s0x2e3b74931b0d1fb5:0x39d944b3b1f6a757!8m2!3d-2.9368163!4d104.6904861!16s%2Fg%2F11g6tw1z_n!19sChIJtR8NG5N0Oy4RV6f2sbNE2Tk?authuser=0&hl=id&rclk=1","Kyoso Gym","4,8","(43)","Tempat Fitness","·","","·","3M7R+75H, Jalan Perumnas","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwNaHJ-Ho75nINHgulzn_2iv4SmyTHwJxcDFA1XjqCngrZfIZPqqaIUv02GcMhChANGchF5ZSqqgzX5WvtAjdTXQTfBG_dmm-ZQluycr0sVFCC8g7z7xvfi2z8gG8xTxSnS2A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalo mau","gym","per hari dan member berapa harganya ya kak"""
"https://www.google.com/maps/place/GYM+%26+FITNESS+CENTER/data=!4m7!3m6!1s0x2e3b77d947f9a90b:0xdc35d806c3f00ac8!8m2!3d-2.9521389!4d104.7612694!16s%2Fg%2F11v0kx6ysw!19sChIJC6n5R9l3Oy4RyArwwwbYNdw?authuser=0&hl=id&rclk=1","GYM & FITNESS CENTER","5,0","(1)","Tempat Fitness","·","","2QX6+4GR","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ca6DiLx2bQxCsghtIPyF2g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=251.35246&pitch=0&thumbfov=100","","","",""
"https://www.google.com/maps/place/Shelter+Health+%26+Fitnes/data=!4m7!3m6!1s0x2e3b9df54b011d77:0x9f526839ed66318f!8m2!3d-2.9964462!4d104.77524!16s%2Fg%2F1hm41qph2!19sChIJdx0BS_WdOy4RjzFm7TloUp8?authuser=0&hl=id&rclk=1","Shelter Health & Fitnes","4,5","(24)","Tempat Fitness","·","","2Q3G+C3H, Jl. Jenderal Ahmad Yani","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpCVGi4N1x0OUNMi1MxklF5lEwEQnp4lEjYDhPaADYOtD88SmxuljH8TMr-6efagmZ3joKTyGAozmjAyZbUz7swv-x3PkXy3Dq9hEFjrd66gwTpfGYeNxPoTL3sMGA-aeg5KBwng=w80-h164-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""semenjak","gym","disini badan saya makin bagus
membernya murah cuma 75rb"""
"https://www.google.com/maps/place/ZIKRA+GYM/data=!4m7!3m6!1s0x2e3b7552333b0a07:0x29c4b5491ba2e808!8m2!3d-2.9301702!4d104.6806352!16s%2Fg%2F11tg7w9t17!19sChIJBwo7M1J1Oy4RCOiiG0m1xCk?authuser=0&hl=id&rclk=1","ZIKRA GYM","5,0","(11)","Tempat Fitness","·","","·","Komp. Grand City, Jl. By Pass Alang Alang Lebar No.10","Buka sekarang","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlCLkp9r1OGfkzKAIejHOanrJHMKSb_1Xw3rz4m6xQLFV9JhFkWiKc9GJIRwomPniZH2_MRFE3Sf01bPWYJZSEGi7Siuva-Z7x1xRB0iqIh-w-48hQy044xmiGTYsFfDWJE_Ot=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Walaupun rame tetep enak kalau mau nge-","gym","."""
"https://www.google.com/maps/place/DUTA+GYM+Sukarela/data=!4m7!3m6!1s0x2e3b7535de1b408b:0xc0012e6fd4f26114!8m2!3d-2.9247789!4d104.7338159!16s%2Fg%2F11stsvbdb4!19sChIJi0Ab3jV1Oy4RFGHy1G8uAcA?authuser=0&hl=id&rclk=1","DUTA GYM Sukarela","4,5","(17)","Tempat Fitness","·","","·","3PGM+3GP, Jl. Batujajar","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhveaa_tp7esB4GRFjBsY8j1XWi0ap0z66uttYj8F0k1o3U1jC8KE0f0UebHm22vQ1B9G_XcRzjMpV7GAeSSGFitxh0ObNJBc6uFtQYn_sP1rXAUHP8VPt_l55MtyVKV72hQD2=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tmptny ok.. Membernya kekeluargaan.. Nyaman.. Kompak""","",""
"https://www.google.com/maps/place/PENO+FITNES+NATURAL/data=!4m7!3m6!1s0x2e3b75ef2c95a1f1:0xadcbf83c0cb868d2!8m2!3d-2.9813556!4d104.73738!16s%2Fg%2F11ggzlxj15!19sChIJ8aGVLO91Oy4R0mi4DDz4y60?authuser=0&hl=id&rclk=1","PENO FITNES NATURAL","4,7","(17)","Pusat kebugaran","·","","Jl. Puncak Sekuning Gg. Famili 2 No.26","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9iOO8EHAixzHs3svorc3n0-iNn37C4xo5J_fOOpQZ7K9XX-_uNieSFOkfIWo4Bc6d8xwX4pZXSO4l9_tXFYwtEJ0sFK-h9eta-F2pJJx0SVX0ailugijX1WMlfu_mYxRv_RJknw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau nanya rincian tarifnya berapa ya mulai dari harian / bulanan.""","",""
"https://www.google.com/maps/place/HSSE+Fitness+Center/data=!4m7!3m6!1s0x2e3b77e0f02bf927:0x94296f3d29f133f3!8m2!3d-2.9917197!4d104.8241433!16s%2Fg%2F11f2grn3jc!19sChIJJ_kr8OB3Oy4R8zPxKT1vKZQ?authuser=0&hl=id&rclk=1","HSSE Fitness Center","4,8","(12)","Tempat Fitness","·","","2R5F+8M6, Jl. Beringin","","Buka","· Tutup pukul 23.55","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-ylHBsdlx5vp5LOniVx-ZsZVkyyMVQeX-JLK_W2uLI8TIbEUpglg_C9QJ6ibuB_G0tXwwvGpN_KPLBib5mg1HOY5-3O7XVSlTxRt9h0Wrxx_qFwLAotyZOeKtV5_mKne68_i5QA=w122-h92-k-no","","","",""
"https://www.google.com/maps/place/Fitnes+Center+Grand+Daira+Hotel+Palembang/data=!4m7!3m6!1s0x2e3b75005fe14253:0xb7b82afcc366c2a6!8m2!3d-2.973584!4d104.7520715!16s%2Fg%2F11mkg7nsqq!19sChIJU0LhXwB1Oy4RpsJmw_wquLc?authuser=0&hl=id&rclk=1","Fitnes Center Grand Daira Hotel Palembang","3,0","(1)","Pusat kebugaran","·","","2QG2+HR8 Grand Daira Hotel Palembang","","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6Yh8jS4mkEY3N6R6rWrYTnBSb38PREC5FaWS4sWb5Aiy-SpOuE3yvdGv3VO9wPCMexE46OnqxpzLEmdjBVK9cWvCvk0zVRKdgKjnBfY6q0x7KBGkM8vK73TGVNv0ulVJXZ2_8I0Za99JS=w163-h92-k-no","","","",""
"https://www.google.com/maps/place/Razza+gym/data=!4m7!3m6!1s0x2e3b75cddb4aee6d:0xc1943c620373e46e!8m2!3d-2.950914!4d104.733066!16s%2Fg%2F11vkn4l93w!19sChIJbe5K2811Oy4RbuRzA2I8lME?authuser=0&hl=id&rclk=1","Razza gym","5,0","(11)","Tempat Fitness","·","","Jl. Mandi Api No.2","","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAmk9bwXoC-NY4-bX2Og2REcj6hGVGzRID4YwgsyRxC7TIzgF5VMPnMDTf3J_-qzIyhjSVhDY1RQJvago_cyooznqW05XC0kk1bC_cOuAmh3kPe77h-BCeCCxcW7YVlNv59eRcXYPYPilc=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya ok bgt"""
