"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Rief+Print/data=!4m7!3m6!1s0x2e3b75c96ff38e03:0xd347d491fdd75908!8m2!3d-2.9627544!4d104.7313803!16s%2Fg%2F11hbkl3qfv!19sChIJA47zb8l1Oy4RCFnX_ZHUR9M?authuser=0&hl=id&rclk=1","Rief Print","4,7","(31)","Printer Digital","·","","·","Jl. Inspektur Marzuki No.12","Segera tutup","·","0852-6999-2290","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMYEjcneCo96355V5IwppR1qS7skeQ1Mtfez7XJoB_6xWzgOvJF1_9M1WNZzV3uuJfjEEPohfrbtYOAMkpMYKg3-AVLxWSbGTzRsaxC8j_qy1Ri-47LmukIlgvdPiHPiToYuFa=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya ramah dan cepat, harga nya murah""","· 21.00 · Buka Sel pukul 07.30","",""
"https://www.google.com/maps/place/Receh+Shop18+%28Merchandise+%26+Konveksi+Custom+Palembang-Banyuasin%29/data=!4m7!3m6!1s0x2e3b0bbff0a9a227:0xd0faa9304229c6e1!8m2!3d-2.9409224!4d104.6586008!16s%2Fg%2F11r9w4cf80!19sChIJJ6Kp8L8LOy4R4cYpQjCp-tA?authuser=0&hl=id&rclk=1","Receh Shop18 (Merchandise & Konveksi Custom Palembang-Banyuasin)","5,0","(579)","Toko Percetakan","","","·","","Buka","","0822-8217-4454","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3gp2Zu1EJf1-S0EoSXCaImb-EI0gPn67lVu4Yo9uNXApm2nISIyRQJDMR0CZQHbZpIw-up1MuM3IepEfvbODTZ0XRM-mXex8w91wlmQBhdZfy3yf4j3GxxjtxXixzN5jomuqi_w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau","· Tutup pukul 22.00","cetak","plakat, ganci, lanyard, ID card—semua bisa dikerjain di sini."""
"https://www.google.com/maps/place/LIHAI+STUDIO/data=!4m7!3m6!1s0x2e3b738c45161dcb:0x7d6d73e75f85e75d!8m2!3d-2.913391!4d104.6837925!16s%2Fg%2F11bwm5bsdr!19sChIJyx0WRYxzOy4RXeeFX-dzbX0?authuser=0&hl=id&rclk=1","LIHAI STUDIO","4,8","(118)","Toko Percetakan","·","","Jl. Sultan Mahmud Badaruddin II No.Km 12","·","Tutup","","0896-8009-9008","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEz275oAsVpD128xQ1SgxdE0qvlUnd31_jtgBKCaMfzRQxQyHobneL0OXrNOmorJ-7-10CUVb0aLrGloW_rbCRPgs96meqWpNlE49Hchm4Ui2pOGaqXoDSz02W0QrSXtwxbKjBq=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cetakan hasilnya bagus
Pelayanan jg ramah & cepat""","· Buka Sel pukul 09.00","",""
"https://www.google.com/maps/place/FORTUNET+digital+printing+center/data=!4m7!3m6!1s0x2e3b7608afa3360f:0xc87943755e202e8d!8m2!3d-2.9854553!4d104.7581501!16s%2Fg%2F11f2xym718!19sChIJDzajrwh2Oy4RjS4gXnVDecg?authuser=0&hl=id&rclk=1","FORTUNET digital printing center","4,4","(131)","Toko Percetakan","·","","·","Jl. Akbp H. Moh. Amin","Tutup","·","0812-7915-3335","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTn6oYUIUJ5zOxe4NWVvGMBvWaQGHBZgAimMFCA8Amh6R-BQSBGfZMRnUhVCViqpe8gv58Lz_ksuQfygkblH-Rfoq-gn6XMl9h4-CeJP0vzTG1_s1IqTSc0HjmeSN7NN3uKH94=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Sel pukul 09.00","Cetak","murah bisa WA, tanpa harus dp, selesai baru bayar"""
"https://www.google.com/maps/place/SYAMIL+Printing+Shop/data=!4m7!3m6!1s0x2e3b760605f8a3c9:0x179125226c9a3dc7!8m2!3d-2.9865452!4d104.7570633!16s%2Fg%2F11gbkvlq4b!19sChIJyaP4BQZ2Oy4Rxz2abCIlkRc?authuser=0&hl=id&rclk=1","SYAMIL Printing Shop","4,8","(39)","Toko Percetakan","·","","","·","Tutup","","0853-8136-9933","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQy32zrI17CreGq0yskeMOI6SiMAv1c93bs7f1iBvqFS2SjIaFSxifMHRXdTwGpIrdSZ9ib65XJipR4sX7C5fDgr6Z40123jpUcS4-Gv7jzBh2ea4CliSkGh_clWm5b9noB7bs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil cetakan bagus  Dicetak juga cepat.""","· Buka Sel pukul 10.00","",""
"https://www.google.com/maps/place/Sarana+Usaha+Mandiri+Copy+Center/data=!4m7!3m6!1s0x2e3b75a55cdff06d:0xc1225b9cc6db13bc!8m2!3d-2.9680819!4d104.7153037!16s%2Fg%2F11c6cpm32n!19sChIJbfDfXKV1Oy4RvBPbxpxbIsE?authuser=0&hl=id&rclk=1","Sarana Usaha Mandiri Copy Center","4,7","(198)","Toko Fotokopi","·","","·","Jalan Inspektur Marzuki No.2553 C-D Pakjo Ujung","Segera tutup","·","0821-8509-1771","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcQ_jQqIpTPm7D28cLGqSVY-GdyXS0T1rC1Fdo4EapMb5qxVf0VanvLtd6O62zIP1-QZD6E6c0_sv_jx3QADfIZl_hvn6CMb9WFZyoqadlvXS8poMau1nSNbKbgRQqMVFCpU8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil Fotocopy,","· 21.00 · Buka Sel pukul 06.30","print",",dan scan nyaa okee banget jernih !"""
"https://www.google.com/maps/place/Free+Print/data=!4m7!3m6!1s0x2e3b75d6f5b5edc1:0xa082b071c8bbe512!8m2!3d-2.9621208!4d104.7473543!16s%2Fg%2F1pzp_rp0q!19sChIJwe219dZ1Oy4REuW7yHGwgqA?authuser=0&hl=id&rclk=1","Free Print","4,8","(36)","Toko Percetakan","·","","·","2PQW+5W5, Jl. Rw. Jaya","Tutup","·","0819-1880-0293","https://lh3.googleusercontent.com/gps-cs-s/APNQkAESVBcH5gWpxNcthOi4x1FFoRzgN97QcBq28GQX52-RxFJ0qPcsGS_BVT7kHtcr-ukCpBCx7UNf89EZbOXnd2D-h0p_NOSzdOBUJzZinD3FsCfYcMLc2RfhVOzTZ12M76QTnEQ2=w163-h92-k-no","","Pesan antar","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/Percetakan+RH+Grafika+palembang/data=!4m7!3m6!1s0x2e3b760604fcac81:0x641326879ada1be0!8m2!3d-2.9864943!4d104.757252!16s%2Fg%2F11c2pfzj2l!19sChIJgaz8BAZ2Oy4R4BvamocmE2Q?authuser=0&hl=id&rclk=1","Percetakan RH Grafika palembang","4,9","(45)","Toko Percetakan","·","","Jl. Kapten Cek Syeh","·","Tutup","","0821-7559-8687","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2zOYx2Fwu5gN1mb20REIildxbIbOH1yHsGWz43_TJzEPKP_iTYI20c4wjbWN_p0nbbbVFI2Afhqdc7Gr8A15xIb-rloOm0g4G0_Pppnnf_h2xeKE8vSeaexZJ4UhHPQl3JNmm=w150-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended tempat","· Buka Sel pukul 09.00","cetak","buku Yasin, kartu nama, stempel, Baner di sini.."""
"https://www.google.com/maps/place/sticker+palembang+mosa+stiker/data=!4m7!3m6!1s0x2e3b73e6b418baa1:0xc973ac2bfb43b9f!8m2!3d-2.9178581!4d104.7480414!16s%2Fg%2F11jnpnqrx3!19sChIJoboYtOZzOy4Rnzu0v8I6lww?authuser=0&hl=id&rclk=1","sticker palembang mosa stiker","5,0","(344)","Toko Percetakan","·","","Jl. TPA Sukawinatan","·","Buka 24 jam","","0812-2100-0340","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFurJzCLemd1bkA-YriURcyWOdcTlnCE4NFbThJBTL2z0C2djw43WKIYqy2WLIuN0KwBASLc5LciLqLNJ9z8bo1jgQS95i2FKN4kP8Wk3gHiWkjoeyboSnQhffZq-wLn1NkWwgZA=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Cetak print","sticker, bagus keren sangat rekomen"""
"https://www.google.com/maps/place/Galaxy+Cetak+Digital+dan+Offset/data=!4m7!3m6!1s0x2e3b759bde2626df:0xa1760bace4025273!8m2!3d-2.9452596!4d104.7455018!16s%2Fg%2F11gmdkhk41!19sChIJ3yYm3pt1Oy4Rc1IC5KwLdqE?authuser=0&hl=id&rclk=1","Galaxy Cetak Digital dan Offset","4,2","(19)","Toko Percetakan","·","","Ruko galaxy, Jl. S. Prawiro","·","Buka","","0812-7133-1371","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqmu9aHrza371uDK3_ltyBxAHsEpjferNm_HfSB8S89_17GE3xxBuPSMd-GXt6cKFRX4avFCuNqt69EG6HSyR-WTXLGR_CFrLSYGhuDME_3T89tKssEi5YOtXf68QdO7-nLPyObQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cepet bagus mantap ...
Apo lagi kk Dian mirip nian Samo Kakak nyo""","· Tutup Sel pukul 05.00","",""
