"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Pasar+Gubah+1/data=!4m7!3m6!1s0x2e3b75fc9eb8de33:0x92d296110bdaf416!8m2!3d-2.9875911!4d104.746573!16s%2Fg%2F11b76lwmnk!19sChIJM964nvx1Oy4RFvTaCxGW0pI?authuser=0&hl=id&rclk=1","Pasar Gubah 1","Perhentian bus","·","Jl. KH. Ahmad Dahlan","","Rute"
"https://www.google.com/maps/place/SImpang+Univ.+Palembang/data=!4m7!3m6!1s0x2e3b75f481d93863:0x3ad092e0a599bb9!8m2!3d-2.99123!4d104.73143!16s%2Fg%2F11kp_13zq4!19sChIJYzjZgfR1Oy4RuZtZCi4JrQM?authuser=0&hl=id&rclk=1","SImpang Univ. Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/LRT+Asrama+Haji+B/data=!4m7!3m6!1s0x2e3b7387261e2b2d:0x75e130655a0c0136!8m2!3d-2.9195752!4d104.7119135!16s%2Fg%2F11b7c886cc!19sChIJLSseJodzOy4RNgEMWmUw4XU?authuser=0&hl=id&rclk=1","LRT Asrama Haji B","Perhentian bus","·","Jl. Tj. Api-Api","","Rute"
"https://www.google.com/maps/place/Marathon+B/data=!4m7!3m6!1s0x2e3b760f2ffa5859:0x44e9fe6ecf47408d!8m2!3d-2.9843341!4d104.7583956!16s%2Fg%2F11bzrj453l!19sChIJWVj6Lw92Oy4RjUBHz27-6UQ?authuser=0&hl=id&rclk=1","Marathon B","Perhentian bus","·","Jl. Jend. Sudirman","","Rute"
"https://www.google.com/maps/place/Parameswara+B/data=!4m7!3m6!1s0x2e3b758da933ca75:0x10b8c4b720dcefa4!8m2!3d-2.988467!4d104.7254969!16s%2Fg%2F11b77fsz_n!19sChIJdcozqY11Oy4RpO_cILfEuBA?authuser=0&hl=id&rclk=1","Parameswara B","Perhentian bus","·","Jl. Demang Lebar Daun","","Rute"
"https://www.google.com/maps/place/Damri+Station+in+Palembang/data=!4m7!3m6!1s0x2e3b747ac5a85db1:0xaf0935bc055462a6!8m2!3d-2.92773!4d104.7151!16s%2Fg%2F11z2jdzc3j!19sChIJsV2oxXp0Oy4RpmJUBbw1Ca8?authuser=0&hl=id&rclk=1","Damri Station in Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/JM+Plaju/data=!4m7!3m6!1s0x2e3b762bf23831fd:0x8feb286057602ec1!8m2!3d-2.9908526!4d104.7940736!16s%2Fg%2F11b7hxgqh5!19sChIJ_TE48it2Oy4RwS5gV2Ao648?authuser=0&hl=id&rclk=1","JM Plaju","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Terminal+Jakabaring/data=!4m7!3m6!1s0x2e3b9db7df5c7893:0x2bca5a6876c691ae!8m2!3d-3.026012!4d104.775463!16s%2Fg%2F11grv444gt!19sChIJk3hc37edOy4RrpHGdmhayis?authuser=0&hl=id&rclk=1","Terminal Jakabaring","Terminal Bus","","","","Rute"
"https://www.google.com/maps/place/Halte+Simpang+Sungki/data=!4m7!3m6!1s0x2e3b9e755966c809:0xb407202575e3554c!8m2!3d-3.0160131!4d104.7517955!16s%2Fg%2F11b7jdwgqv!19sChIJCchmWXWeOy4RTFXjdSUgB7Q?authuser=0&hl=id&rclk=1","Halte Simpang Sungki","Perhentian bus","·","Jl. Kimarogan","","Rute"
"https://www.google.com/maps/place/Koni+Sumsel/data=!4m7!3m6!1s0x2e3b767588cd143b:0x73fb84e56b2c9018!8m2!3d-2.973251!4d104.7524519!16s%2Fg%2F11b76fln13!19sChIJOxTNiHV2Oy4RGJAsa-WE-3M?authuser=0&hl=id&rclk=1","Koni Sumsel","Perhentian bus","·","Jl. Jend. Sudirman","","Rute"
"https://www.google.com/maps/place/Kancil+Putih/data=!4m7!3m6!1s0x2e3b75943f1d89db:0xd26afb56f49f8d02!8m2!3d-2.980206!4d104.724204!16s%2Fg%2F11b77gnc8f!19sChIJ24kdP5R1Oy4RAo2f9Fb7atI?authuser=0&hl=id&rclk=1","Kancil Putih","Perhentian bus","·","Jl. Demang Lebar Daun","","Rute"
"https://www.google.com/maps/place/Halte+Gelora+Sriwijaya+A/data=!4m7!3m6!1s0x2e3b9dba4c99ea2f:0x693d0f140427d2b7!8m2!3d-3.0220035!4d104.7831435!16s%2Fg%2F11b7l4k5z9!19sChIJL-qZTLqdOy4Rt9InBBQPPWk?authuser=0&hl=id&rclk=1","Halte Gelora Sriwijaya A","Perhentian bus","·","Jl. Gubernur H. A Bastari","","Rute"
"https://www.google.com/maps/place/Halte+Opi+Mall/data=!4m7!3m6!1s0x2e3b9c535b80063f:0xc29a914db87f95b8!8m2!3d-3.0348433!4d104.7922665!16s%2Fg%2F11gh1n9lkj!19sChIJPwaAW1OcOy4RuJV_uE2RmsI?authuser=0&hl=id&rclk=1","Halte Opi Mall","Perhentian bus","·","Depan kantor BNN","","Rute"
