"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"https://www.google.com/maps/place/Beyond+House/data=!4m7!3m6!1s0x2e3b77634699ed25:0x525da22dcedd53dd!8m2!3d-2.9698601!4d104.7648498!16s%2Fg%2F11rvh7_t62!19sChIJJe2ZRmN3Oy4R3VPdzi2iXVI?authuser=0&hl=id&rclk=1","Beyond House","4,4","(269)","Restoran","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3xYbDpbL9BPpIUMPL-s1mZSjpHmDGzMenz6kfbRtU9mRZLBpzO90TlcAaoAwGFQrMFsT8_SGVIFM-AWBdxir_Gud05o8FqZ9hAae-rHdBUqL3HJQEd1MgKL4FbgONupeAHN-yaQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mie Ayam, pisang goreng dan beyond coffe nya recomended .""","","","","","","Jl. Beo No.8","",""
"https://www.google.com/maps/place/MALOMO+KOPI/data=!4m7!3m6!1s0x2e3b770014a61a91:0xe07eb6cdf251f95c!8m2!3d-2.9875704!4d104.7662425!16s%2Fg%2F11vqvsnjc5!19sChIJkRqmFAB3Oy4RXPlR8s22fuA?authuser=0&hl=id&rclk=1","MALOMO KOPI","4,7","(374)","Kedai Kopi","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCuFCLcVmZMHsHWsSQkspy9nHh_YWM9ULJ4ERv7uflyUUxaGX0Is5KJH4EjtDFnu8Q7avyN2Y1SUIpHy8ChU5q4PnSdHIVFVQwh_z3eDJR85adK-lXkbSAEEY35PM8ZnGMSx8mwB9538Sp=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak kopi dan pelayanan nya memuaskan harga terjangkau..""","","","","","","Lorong Tangga Batu No.412","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Pedestrian+House/data=!4m7!3m6!1s0x2e3b775147383089:0xafbcbe6bd3b2ab31!8m2!3d-2.9824669!4d104.7575653!16s%2Fg%2F11gy1lwhcc!19sChIJiTA4R1F3Oy4RMauy02u-vK8?authuser=0&hl=id&rclk=1","Pedestrian House","4,6","(505)","Kedai Kopi","·","·","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQnp2fupAhoY4OorZ3wQRgoHJqQUsOD9a8uigRopMGdf_ptjstNcAzbiYOlLg7m7KddJ9brx9IWeAOzyCthqGPyv74kOJEt73aldN5_PZ5TwsaPm9RINoTAa-mJQk7A-oJET272w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat kopi yg lumayan cozy buat cari kopi pagi2 di belakang kantor""","","","","","","Jl. Jend. Sudirman No.216, RT.16","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Selebriti+Entertainment+Center/data=!4m7!3m6!1s0x2e3b7672b88fe7c3:0x4e2f33b8976f162b!8m2!3d-2.9754022!4d104.7600358!16s%2Fg%2F1pztnrsfc!19sChIJw-ePuHJ2Oy4RKxZvl7gzL04?authuser=0&hl=id&rclk=1","Selebriti Entertainment Center","4,5","(1.075)","Kafe","·","Jl. Veteran No.1243","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcspGpUQsU9Vuw-UyYRAVbSwfTJx7NtD359_BRiinpO7Ec37G7BleNnLYj_cf3b6zBvMQ4Q5XcJgwjCun1toSjlVfWIXAEWxHEbaHt8bQxXP96Qcgkw593PyiXXsNOJ3LzKEOe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada menu vegetarian yg bs dipesan.""","","","","","","","·","$$"
"https://www.google.com/maps/place/Selcouth+Coffee/data=!4m7!3m6!1s0x2e3b771046fc4119:0xea8f421a242014e5!8m2!3d-2.9452568!4d104.7677942!16s%2Fg%2F11sdnrrtc1!19sChIJGUH8RhB3Oy4R5RQgJBpCj-o?authuser=0&hl=id&rclk=1","Selcouth Coffee","4,8","(338)","Kedai Kopi","·","Jl. MP. Mangkunegara Jl. Kenten Hijau No.432","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxOwEr1YuBTODjBkbWcHMzsQnx_szjXIaNskmJGi4ylTfPfO1rfxUxyCe4L3pmgnlVUN4ZtyshUnbPGpvtUreWG2BOXOhutUvPVNrbCf4LBGUoYdKX7K3n3fEVzT9egBvM9_VP=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Di sini gue nemu varian kopi yang cocok sama selera baru gue.""","","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Caf%C3%A9+Delapan/data=!4m7!3m6!1s0x2e3b77a0841d3f5d:0x68c80705d8c19e03!8m2!3d-2.9709533!4d104.7646873!16s%2Fg%2F11f75z8t1y!19sChIJXT8dhKB3Oy4RA57B2AUHyGg?authuser=0&hl=id&rclk=1","Café Delapan","4,9","(24)","Restoran","·","THE ALTS HOTEL, Jl. Rajawali III No.8","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5Ymd96LMGxv1FnVVqilwfos1dxKW02sJc9p-51Q1Fr2Krs61V5J64jbsHCAFVTA25DRfP5EauazeDvyABQboS-Eeo1zULofTFQVit32PUEEIA3-fZYrAJNhPS8kMBsi7y7t-U8g=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","","","","",""
"https://www.google.com/maps/place/Toby%27s+Estate+Palembang+Indah+Mall/data=!4m7!3m6!1s0x2e3b77383ab1c38f:0x13a28fc75cda117b!8m2!3d-2.9847876!4d104.7542919!16s%2Fg%2F11tsjl3x4d!19sChIJj8OxOjh3Oy4RexHaXMePohM?authuser=0&hl=id&rclk=1","Toby's Estate Palembang Indah Mall","4,9","(1.506)","Kedai Kopi","·","Jl. Letkol Iskandar No.18","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL7JKw-JCCB7L0jk5wseYh3jgCerfSGkgrbjqhhMBs0-rlF2TBeBYRZ4Zue62aiDkc40pLiVkCu67H18_0VA2Vej6L7fRe2vxhEQ16dtEpnQHyXnpjlPLyrVz-ZR6D_xIU=w94-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Cafe","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0c2psM3g0ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=i5v4abnJAe2jseMP9NjV-Ag&ei=i5v4abnJAe2jseMP9NjV-Ag&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Kedai+Kopi+7/data=!4m7!3m6!1s0x2e3b779fd96ec685:0x42b6bf098a14c174!8m2!3d-2.9826792!4d104.7607102!16s%2Fg%2F11h1g79t4p!19sChIJhcZu2Z93Oy4RdMEUigm_tkI?authuser=0&hl=id&rclk=1","Kedai Kopi 7","4,6","(1.318)","Kafe","·","Muda, Jl. Letkol Iskandar","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMz3rcGKBUZ5OWM5dh6C1n-7e747uhvjkezeXNu5hexDrF-678SoaylfcofEC7vp5WJYFoi4qjgm1W9ye7c4-wTRCHJ3Vrz_jgmM7dHd51b-v8xx2cTSEQGQtRwmKZnnSsOvE8=w141-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya sangat enak, mie ayam nya sangat enak, bubur ayamnya sangay enak.""","","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/South+Station+Cafe/data=!4m7!3m6!1s0x2e3b75fd1270b677:0xff2b347a5e60f89b!8m2!3d-2.9879319!4d104.7503562!16s%2Fg%2F11c0rvvhtx!19sChIJd7ZwEv11Oy4Rm_hgXno0K_8?authuser=0&hl=id&rclk=1","South Station Cafe","4,4","(1.551)","Kafe","·","·","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEfRZbW1ugitI1tj9IUy8YRSmR5X0z6N2wS7lTO4qzClvPxjPkSMI6BAJtC8PFQH3JBOsc_qXGbfzJ-g2uKK848MHC9UNasI_YzYWnVv6HdA8DrUYmBtbnpJlD2g0LR_A2ADp4=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""live music suasana cozy makanan juga enak dan terjangkau.""","","","","","","Jl. Diponegoro No.235","·","Rp 25–50 rb"
"https://www.google.com/maps/place/ENAMDUA+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e3b75e9cf19eebf:0x3831423268fa5126!8m2!3d-2.9930675!4d104.747252!16s%2Fg%2F11fktgw3gt!19sChIJv-4Zz-l1Oy4RJlH6aDJCMTg?authuser=0&hl=id&rclk=1","ENAMDUA Coffee and Eatery","4,5","(1.008)","Kedai Kopi","·","Jl. Hang Tuah No.7","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSyF_PVFlOM7achdmZNJ7hlWWRLIf8ZPGQ14w9goXl5datajPjNQ6hw3y38xfc8i03NFgN-aw3WiS_RPxtE8Ha5cWhfaze-CHZyUoGYnO0uw9oj1ytd0zzTPdWeDjXHNZJZtu-=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomen banget buat yang suka kopi, kopi enam dia nya pas banget di lidah""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFma3RndzNndBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=i5v4abnJAe2jseMP9NjV-Ag&ei=i5v4abnJAe2jseMP9NjV-Ag&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Kopieten+Palembang/data=!4m7!3m6!1s0x2e3b7752ac21a765:0x5a557219cf5c2112!8m2!3d-2.9757884!4d104.7603619!16s%2Fg%2F11tc_9xl_q!19sChIJZachrFJ3Oy4REiFczxlyVVo?authuser=0&hl=id&rclk=1","Kopieten Palembang","4,7","(86)","Kedai Kopi","·","Jl. Veteran No.208","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHX-ffmNcNfy8-TL3l2Mk5yb9vsXA6IAKX-mFm531xsbHOZe6pVHuPJ8ye_iwC53U_Jj9-Y5ZuMHUc8Klgu9xXQwH3mbH_n5w2jqZeRcx41yrKU-75t0OiVIXv8SDY-8L2_A4K5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada table outdoor & indoor yg keduanya sama2 bersih & rapi.""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0Y185eGxfcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=i5v4abnJAe2jseMP9NjV-Ag&ei=i5v4abnJAe2jseMP9NjV-Ag&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 50–75 rb"
"https://www.google.com/maps/place/FOW+Specialty+Coffee/data=!4m7!3m6!1s0x2e3b7583df3cec67:0x9acd90b3aa5925c4!8m2!3d-2.9890836!4d104.7435259!16s%2Fg%2F11g0zycfn9!19sChIJZ-w834N1Oy4RxCVZqrOQzZo?authuser=0&hl=id&rclk=1","FOW Specialty Coffee","4,9","(6.310)","Kafe","·","Jl. Ki Ranggo Wirosantiko 30 Ilir, Kec. Ilir Bar. II Kota Palembang, Sumatera Selatan 30121","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL_eKXY5h5--p0UYwHNuB3JYRQVHNnlaDJ0cXkDwnf6wzJW9XDpVdWrfWZzrNSiXCGdOZqg7QDwJX-7e4_NJkbRoJDXMe1FcbgKo3jk0TjKZsdHAQSkFfaeSO8t40iHfDA7DUR=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya cozy banget, minuman kopinya enak banget""","","","","","","Kopi & camilan di kafe keren dua lantai","·","Rp 25–50 rb"
"https://www.google.com/maps/place/TOMORO+COFFEE+-+SPBU+M.+Isa/data=!4m7!3m6!1s0x2e3b770061e7c1df:0xd1477ee45cadbc61!8m2!3d-2.9699716!4d104.7689975!16s%2Fg%2F11vk0_gpx4!19sChIJ38HnYQB3Oy4RYbytXOR-R9E?authuser=0&hl=id&rclk=1","TOMORO COFFEE - SPBU M. Isa","4,7","(189)","Kedai Kopi","·","Jl. Dr. M. Isa No.16","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiYDkBHAf3kSWLebtcUBWEsEC4gihpIXnumXjUDrUpO8tKzyB7_hMrVHPEwCKTDLOPIuUaEORw7zOVzNhFbBhlY4bemQSPpd11rYoIrBzIL35QK96K1XvkxO6Uzz1x1y6DusyF=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman buat nugas atau sekedar duduk manis menikmati kopi.""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2azBfZ3B4NBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qZv4acP-B4yYseMPms2h8AQ&ei=qZv4acP-B4yYseMPms2h8AQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Socio+Space/data=!4m7!3m6!1s0x2e3b750017454a47:0x66eff9a34a36df1a!8m2!3d-2.9694937!4d104.7331437!16s%2Fg%2F11m5v0nm0m!19sChIJR0pFFwB1Oy4RGt82SqP572Y?authuser=0&hl=id&rclk=1","Socio Space","4,8","(1.946)","Kafe","·","Jl. Demang Lebar Daun","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6ib3RrkNNaOcziLrICuD_ZkEdNeuF5jZwN4LFhRvpehJAgD5MrCcs8NtG_69C6ViFvELk2DxSm-qK3GVzJ5xgUGVkg-H9Fiaop14VZKi3OLkoJZoGbtrkeVm8Bez-sjascEZFrUaCfuo=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Cafe","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/KOZY+LAB+Steak+%26+Pasta/data=!4m7!3m6!1s0x2e3b775bea686a1d:0xccbefc0d8d51f068!8m2!3d-2.9817022!4d104.7646968!16s%2Fg%2F11q2s6bpd4!19sChIJHWpo6lt3Oy4RaPBRjQ38vsw?authuser=0&hl=id&rclk=1","KOZY LAB Steak & Pasta","4,3","(186)","Restoran","·","kopi roda, Jl. Segaran No.189","Segera tutup","· 21.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEg1Q1C0VNQQt1WFK20XPw_fjVkH59oimh4thMga6--_amyRG-s2HDj9-AjrglUiB0SE6pbvOzamaV2k7AO4okTVQAoYh0XywwTDOVlT14rGAackfZ5zdefGGONxUj92SYAIRFK=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","cafe","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxMnM2YnBkNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qZv4acP-B4yYseMPms2h8AQ&ei=qZv4acP-B4yYseMPms2h8AQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
