"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"https://www.google.com/maps/place/Warteg+Slawi/data=!4m7!3m6!1s0x2e3b75e24f46c215:0xad27d99d1cb73621!8m2!3d-2.9828365!4d104.7498305!16s%2Fg%2F11f105cxw2!19sChIJFcJGT-J1Oy4RITa3HJ3ZJ60?authuser=0&hl=id&rclk=1","Warteg Slawi","4,8","(28)","·","Rp 1–25.000","Tegal","·","","·","2P8X+VW8","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRIwtwN-M6yvfUQOYYb-e0bJnOmwfEaRCte0VOS1jhfResjjDghvvpbarV1ENZNAvpDjxm0mh4xwPES_aLmSW3MrZsh6aYfeNgj4yVATpDUbA6pWSMJoRO3sDmQv0etDP_rBJH=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Parkir cukup luas, suasana khas","warteg",""
"https://www.google.com/maps/place/Warteg+Modern+AzzamKu/data=!4m7!3m6!1s0x2e3b776951096615:0xf128240f943f1310!8m2!3d-2.9288807!4d104.7816348!16s%2Fg%2F11xd3w4smj!19sChIJFWYJUWl3Oy4REBM_lA8kKPE?authuser=0&hl=id&rclk=1","Warteg Modern AzzamKu","5,0","(31)","·","Rp 1–25.000","Restoran","·","","Jl. Musi Raya Utara No.543","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHq8GL6-JUUMvUcCON08doNF3oNsuuIRpzOnAEOPHe9zhRML9FR8rUDjgUc-7YKehhMpfOWEvEl2b6o_vb244_mTKmNcPPeddxK4Sw-rhbMc3OGaeoQbU0RvvtDw5-c8kX57OSo-vGa6FJf=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wartegnya keren, rapi, bersih' makanannya enak².""","",""
"https://www.google.com/maps/place/Warteg+Radial/data=!4m7!3m6!1s0x2e3b75e24f31f0ab:0x4212911232257ebf!8m2!3d-2.9827503!4d104.749752!16s%2Fg%2F11fyzr_035!19sChIJq_AxT-J1Oy4Rv34lMhKREkI?authuser=0&hl=id&rclk=1","Warteg Radial","4,6","(13)","·","Rp 1–25.000","Tegal","·","","·","2P8X+VWR samping Pom Bensin, Jl. Radial","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9OPS0IA0_hVzBDEq7fVPGJ2mHyB7sjGGJOZVy-aKO6W3qpWtVYsLxvdUEAuZoRBe55v8tQ04Q8L7epWI2Q2Kgnxig0A5a-2k8k0BgG0S0MF2IB4cQh60-kXZmrguk31nYWtEb=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan rumahan yang enak dan murah""","",""
"https://www.google.com/maps/place/Wawteg+palembang/data=!4m7!3m6!1s0x2e3b75003ec903bd:0x7e66775ad1a14cf4!8m2!3d-2.9795427!4d104.7474633!16s%2Fg%2F11wmzy1d_c!19sChIJvQPJPgB1Oy4R9Eyh0Vp3Zn4?authuser=0&hl=id&rclk=1","Wawteg palembang","4,3","(15)","","","Dapur Umum","·","","Jl. Kapten A. Rivai No.45","","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHK6e8-vsrwmPVsQaKq4FNvjVgld0zmUw29YEbc5FandJRR83BBo-o-YUnbUBUnLeTtPZva-7af9Ez9X9jEvZlMrtuRq4ekXsKx81dNSaQ03ZcNHxDnp6dtYuCvIBPFlDY3FmxwdMyMEHoD=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makan siang dengan team kantor.. enak makanannya..","warteg",""
"https://www.google.com/maps/place/Warteg+Zahro/data=!4m7!3m6!1s0x2e3b73a2b848bc37:0x7a27176d2f625c9a!8m2!3d-2.9001291!4d104.7174591!16s%2Fg%2F11fy_1xw63!19sChIJN7xIuKJzOy4RmlxiL20XJ3o?authuser=0&hl=id&rclk=1","Warteg Zahro","4,5","(74)","·","Rp 1–25.000","Tegal","·","","·","3PX8+WXW, Jl. Karantina","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3qOnIJTVav1pLOCI12kG9Kic4bunj5q7C_KwYT0XNqytPyG_I5pUbnQvuCwU2T3aabhUTSLHUP2eIkB7xvKjJoFVMMnXRljqWwy4I0BYJWwT5XeVd3aPH0ohFMkMs_fcFor7w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakannya enak""","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Bumi+Sriwijaya/data=!4m7!3m6!1s0x2e3b75001745fdb1:0x5a43c09947ca454f!8m2!3d-2.9765134!4d104.7406416!16s%2Fg%2F11y5j8j4qt!19sChIJsf1FFwB1Oy4RT0XKR5nAQ1o?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Bumi Sriwijaya","5,0","(11)","·","Rp 1–25.000","Indonesia","·","","Jl. Pimpong","","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJI0bpYLHW2j9iP5vjtNPZH1so-eFBQuaFVzaK6HN5SJ1oRdhTrvS1Rnd96YIqR5f57paS2nrC-YLBryLYsQEmN6ibaILh-2DHdeoh4kibbKCEaU6_0jiuRVSBymyQe1RKiGCD=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannyo lemak, harganyo murah idak bikin kantong bolong""","",""
"https://www.google.com/maps/place/Warteg+Prasmanan+Oma+Gloudy/data=!4m7!3m6!1s0x2e3b770020951f95:0xa4caf057395a5cbd!8m2!3d-2.9177697!4d104.7919891!16s%2Fg%2F11ywbsd0g7!19sChIJlR-VIAB3Oy4RvVxaOVfwyqQ?authuser=0&hl=id&rclk=1","Warteg Prasmanan Oma Gloudy","5,0","(4)","","","Brunch","·","","3QJR+VQX","","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwt-BeW3oxV1OE2Pc8Wk3fuQtS5mVS9JuAKEFZr3bB0f54oaUvfZPubwK1djtUzpd11-6VHgu074kc6MkS6tkhHhbDl_Zsok0GVCp8T52uywzVFCP3Uf762wJsTSqD7MkUE0g9ri2NQhU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan nya enak dan harga terjangkau.""","",""
"https://www.google.com/maps/place/Warteg+Slawi+Ayu/data=!4m7!3m6!1s0x2e3b7364bc45b97f:0x7d2a7ce56d6e3b!8m2!3d-2.9134341!4d104.6922316!16s%2Fg%2F11f4_682p4!19sChIJf7lFvGRzOy4RO25t5XwqfQA?authuser=0&hl=id&rclk=1","Warteg Slawi Ayu","4,6","(16)","","","Tegal","·","","·","3MPR+JVH, Jl. Sultan Mahmud Badaruddin II","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0dB7tmYmnsrNshI678Y8Wo1kc7kedDy-MPy0GbpRjxocgR17YAhPUlvmi0OCx6RLTEzGPRWlOhM_jM4AxAaKt95pQzbeETjQRJwXdfRIGEIJzGusoHPUQ2S0IuqBLd8Yt1sX5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan banyak varian
Cuma agak mahal""","",""
"https://www.google.com/maps/place/Warteg+Bahari/data=!4m7!3m6!1s0x2e3b73c773c1b707:0xa8732aec110a3b52!8m2!3d-2.8923263!4d104.7299585!16s%2Fg%2F11f102cydb!19sChIJB7fBc8dzOy4RUjsKEewqc6g?authuser=0&hl=id&rclk=1","Warteg Bahari","4,4","(18)","","","Tegal","·","","·","Jl. Palembang- Tj. Api Api","Segera tutup","· 21.30 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAi4Qm96uOfuWID-HHN2Csf1OfsB1x1kHZBUoenY-BBlBZ1RQirexREb4HaYj2467ipczFP5oBhRfp85ajXje4pOoQF-MyQ_9Ml40ZZhjQ1jeHDvzBi6j5wd5KIm1UpONTiXBcjox_RkYx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah dan variatif menunya""","",""
"https://www.google.com/maps/place/Warteg+Bu+De/data=!4m7!3m6!1s0x2e3b76694b5968f1:0xa86dcd9a78ac23b0!8m2!3d-2.9704323!4d104.7696755!16s%2Fg%2F11bw4x6vjl!19sChIJ8WhZS2l2Oy4RsCOseJrNbag?authuser=0&hl=id&rclk=1","Warteg Bu De","4,6","(41)","","","Tegal","·","","·","2QH9+RVF","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLjDnuZ0ipt8Ir4T4UWv9rs07pxxu5opPvHaMu6kE5G0xepa13hQYP5X7op6BFy4htS5S3wkIFyRP2SNCvuGBk5smgoGnTeoDTKmJyg7BbsYdmU0z8pvBfnuiMjeGsbbAwpqC7Ig=w80-h142-k-no","","Makan di tempat","Bawa pulang","·"
