"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5","W4Efsd 6","W4Efsd 7","ah5Ghc 2"
"https://www.google.com/maps/place/Ecoprint+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b767715306e6b:0x6e416d06afa8fa99!8m2!3d-2.9680118!4d104.7564099!16s%2Fg%2F1hm4b83gw!19sChIJa24wFXd2Oy4RmfqorwZtQW4?authuser=0&hl=id&rclk=1","Ecoprint Digital Printing Palembang","4,8","(235)","Percetakan Komersial","·","","Jl. Mayor Salim Batubara No.2637 2638","·","(0711) 372025","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat digital printing yang rekomend sih ini sumpah gak bohong""","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/Bandar+Cetak+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b779ae49db673:0xeae5eadf1e62f5e6!8m2!3d-2.9535285!4d104.7546994!16s%2Fg%2F11f7mc_6q7!19sChIJc7ad5Jp3Oy4R5vViHt_q5eo?authuser=0&hl=id&rclk=1","Bandar Cetak Digital Printing Palembang","4,7","(88)","Layanan cetak digital","·","","Sekip Ujung, Jl. Ampibi No.2306","·","0852-1234-2014","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""best service sesuai degan waktu dengan hasil yang memuaskan""","Segera tutup","· 21.00 · Buka Sel pukul 09.00","",""
"https://www.google.com/maps/place/Foto+Copy+Radial/data=!4m7!3m6!1s0x2e3b75e24f9a0163:0x5e8acb31cb62bccf!8m2!3d-2.9831299!4d104.749692!16s%2Fg%2F11b6dg7_qf!19sChIJYwGaT-J1Oy4Rz7xiyzHLil4?authuser=0&hl=id&rclk=1","Foto Copy Radial","4,5","(12)","Toko Fotokopi","·","","Jl. Radial No.1112","","0823-7368-3292","","Rute","","","","","",""
"https://www.google.com/maps/place/Grafindo+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b767c18a8d0eb:0x18ddd5b5545d0b!8m2!3d-2.9603784!4d104.7583118!16s%2Fg%2F11c6rfrxyh!19sChIJ69CoGHx2Oy4RC11UtdXdGAA?authuser=0&hl=id&rclk=1","Grafindo Digital Printing Palembang","4,1","(28)","Toko Percetakan","·","","No.03, Sebelah atk, Sinar Bali, Jl. Mayor Salim Batubara","·","(0711) 5630697","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cetak banner nya cepat dan harga murah dibanding percetakan lain.""","Tutup","· Buka Sel pukul 09.00","",""
"https://www.google.com/maps/place/Copy+Print+Stampel+-+%22SJ%22+Percetakan/data=!4m7!3m6!1s0x2e3b76142bcc28db:0xc4d978d36ea9f46!8m2!3d-2.980996!4d104.7668923!16s%2Fg%2F11c1mzyv81!19sChIJ2yjMKxR2Oy4RRp_qNo2XTQw?authuser=0&hl=id&rclk=1","Copy Print Stampel - ""SJ"" Percetakan","","","Toko Percetakan","·","","·","Jl. Slamet Riady No.572 3","0812-8147-787","","Rute","","Belanja di toko","Tutup","· Buka Sel pukul 08.00","·","Ambil di toko"
"https://www.google.com/maps/place/Season+Stationery/data=!4m7!3m6!1s0x2e3b7783f99163fb:0xccd738301bf2128b!8m2!3d-2.970972!4d104.7612143!16s%2Fg%2F11t5n98vyj!19sChIJ-2OR-YN3Oy4RixLyGzA418w?authuser=0&hl=id&rclk=1","Season Stationery","2,8","(4)","Toko Fotokopi","·","","Samping Sekolah IGS, Jl. Mayor Ruslan No.1521","·","0813-6876-9966","","Rute","","","Tutup","· Buka Sel pukul 08.30","",""
"https://www.google.com/maps/place/Hanif+Fotocopy/data=!4m7!3m6!1s0x2e3b75a77934f113:0xc7fae0e53b9e5c9d!8m2!3d-2.9613392!4d104.7500631!16s%2Fg%2F11p5sn_63f!19sChIJE_E0ead1Oy4RnVyeO-Xg-sc?authuser=0&hl=id&rclk=1","Hanif Fotocopy","5,0","(6)","Toko Fotokopi","·","","Jl. Rw. Jaya II No.N. 274, RT.05/RW.02","·","0812-1830-778","","Rute","","Layanan di tempat","Buka","· Tutup pukul 22.00","","Janji temu online"
"https://www.google.com/maps/place/Deny+Photo+Copy/data=!4m7!3m6!1s0x2e3b760ae1b278ff:0x2d32ba7a65d11dbe!8m2!3d-2.9777202!4d104.7548583!16s%2Fg%2F11f5h5djpj!19sChIJ_3iy4Qp2Oy4Rvh3RZXq6Mi0?authuser=0&hl=id&rclk=1","Deny Photo Copy","4,6","(19)","Toko Fotokopi","·","","Jl. Candi Angsoko No.480","·","0831-258-468","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Disini bisa rental mesin","Tutup","· Buka Sel pukul 09.00","","photocopy"
"https://www.google.com/maps/place/MDP+Plaza/data=!4m7!3m6!1s0x2e3b773a1982a90d:0xf7b3170dc0a1cc17!8m2!3d-2.9814491!4d104.7616197!16s%2Fg%2F11khmf5q0r!19sChIJDamCGTp3Oy4RF8yhwA0Xs_c?authuser=0&hl=id&rclk=1","MDP Plaza","4,8","(205)","Toko Komputer","·","","Jl. Letkol Iskandar No.693","·","(0711) 313626","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buat kamok kamok yg nak belanjo elekteronika payo datang bae ke sini.""","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/Lotus+ATK+%26+Fotocopy/data=!4m7!3m6!1s0x2e3b7734015128a1:0xaa81b61367cb275f!8m2!3d-2.9620004!4d104.7717806!16s%2Fg%2F11ngtfsxzk!19sChIJoShRATR3Oy4RXyfLZxO2gao?authuser=0&hl=id&rclk=1","Lotus ATK & Fotocopy","5,0","(3)","Toko Alat Tulis Kantor","·","","Jl. Bambang Utoyo No.1265","·","0821-7991-3084","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tutup","· Buka Sel pukul 07.00","","Fotocopy"
"https://www.google.com/maps/place/FOTOKOPI+YAYASAN+IBA/data=!4m7!3m6!1s0x2e3b7728a4ec49ff:0x3e1dd479999d2625!8m2!3d-2.9647853!4d104.7633913!16s%2Fg%2F11ln15nhpy!19sChIJ_0nspCh3Oy4RJSadmXnUHT4?authuser=0&hl=id&rclk=1","FOTOKOPI YAYASAN IBA","","","Percetakan Komersial","·","","Jl. Perwari","","","","Rute","","","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/CV.+ALGA/data=!4m7!3m6!1s0x2e3b777baa711c8f:0x6f9cc737e8e6cb2!8m2!3d-2.9808756!4d104.7697987!16s%2Fg%2F11bc7qpv3q!19sChIJjxxxqnt3Oy4RsmyOfnPM-QY?authuser=0&hl=id&rclk=1","CV. ALGA","5,0","(1)","Toko Fotokopi","·","","Jl. Ali Gatmir No.123","·","(0711) 362201","","Rute","","","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/Fotocopy+hafis/data=!4m7!3m6!1s0x2e3b743668e8b5ff:0x5d6776f9fe39766b!8m2!3d-2.9508892!4d104.7331455!16s%2Fg%2F11bycl9pg5!19sChIJ_7XoaDZ0Oy4Ra3Y5_vl2Z10?authuser=0&hl=id&rclk=1","Fotocopy hafis","4,7","(42)","Toko Fotokopi","·","","·","Jl. Srijaya","0813-6898-5986","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","Buka","· Tutup pukul 21.30","·","print"
"https://www.google.com/maps/place/Toko+Alat+Tulis+Kantor+Dan+Fotocopy+Alya/data=!4m7!3m6!1s0x2e3b7669452f1671:0x27cd562426332c10!8m2!3d-2.9706584!4d104.7704788!16s%2Fg%2F11ggfwp6pg!19sChIJcRYvRWl2Oy4RECwzJiRWzSc?authuser=0&hl=id&rclk=1","Toko Alat Tulis Kantor Dan Fotocopy Alya","5,0","(2)","Toko Alat Tulis Kantor","·","","2QHC+P5Q, Jl. Dr. M. Isa","·","(0711) 371968","","Rute","","","Tutup","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/A+Line+Beauty+%26+Photo/data=!4m7!3m6!1s0x2e3b77cda5db1953:0x7d5ee7031b0dd72!8m2!3d-2.9839474!4d104.7600653!16s%2Fg%2F11kqhqm_vt!19sChIJUxnbpc13Oy4Rct2wMXDu1Qc?authuser=0&hl=id&rclk=1","A Line Beauty & Photo","4,8","(22)","Studio Foto","·","","Jl. Kb. Jahe No.451 a 2","·","0813-7759-1900","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Paket","Tutup","· Buka Sel pukul 08.00","","foto"
