"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Homegym+Yofitmos+Studio/data=!4m7!3m6!1s0x2e69dbdc121517e1:0xa857b61132b4ae45!8m2!3d-6.569336!4d106.7189447!16s%2Fg%2F11t_s5jbwn!19sChIJ4RcVEtzbaS4RRa60MhG2V6g?authuser=0&hl=id&rclk=1","Homegym Yofitmos Studio","5,0","(11)","Tempat Fitness","·","Taman Dramaga Permai 2 No.C9 No.1","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw3_zUabdcdm5L4vLQtHuxWXFNgYNo0S_kmSrS-xZJXuCS140n-_XMz7CDap1rz7MU5iK3_E-acfFpQPLZdXhRn6Wcb60JqUD0HFxOtmvEyefXpu0pxMYYS6iWyzOHuvIM6TgAqfr-yNPO=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","khusus muslimah, metode dan","",""
"https://www.google.com/maps/place/Fitquest+Gym+Yasmin/data=!4m7!3m6!1s0x2e69c5391dcfd8a7:0x76eb3e32a46c9398!8m2!3d-6.5575763!4d106.7775954!16s%2Fg%2F11w4547w64!19sChIJp9jPHTnFaS4RmJNspDI-63Y?authuser=0&hl=id&rclk=1","Fitquest Gym Yasmin","4,9","(173)","Tempat Fitness","·","Jl. Johar Raya No.16, RT.05/RW.04","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4q5y9DeGk10Tr37cZL-KPEyiXLirPGmAzwjWCn7OrKeakBGgqNhR01HlLBrm9vv9umDe0zbUsgpuLQwQESEJhfZMs8KPNnm0CU2bR41sCkiY5T4qxgIwmGpYTvyjwnD4tuSKMD1lJUAdX=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya yaman dan bersih, suka deh nge","gym","disini""","",""
"https://www.google.com/maps/place/Duo+Shine+Fitness+Loji+Bogor/data=!4m7!3m6!1s0x2e69c59da8e3e425:0x52fcdc7908007cb4!8m2!3d-6.5840071!4d106.770637!16s%2Fg%2F11rxtvzjm1!19sChIJJeTjqJ3FaS4RtHwACHnc_FI?authuser=0&hl=id&rclk=1","Duo Shine Fitness Loji Bogor","4,8","(117)","Tempat Fitness","·","CQ8C+97R, RT.02/RW.10","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFONx_7LvLVM-YZQfia1edMyAk8gJmFumRvzZItYDPSbwwtY19uIo0IOcst7omTbjVFl77QPbC17azRbKICpp0wghb_IOKjHyrcSSpzVEDSjo1nmhcxhwyvCUCz51VxZ2BiSwnJ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau coba","gym","pertama kalinya, adminnya ramah dan responsive.""","",""
"https://www.google.com/maps/place/Galuga+Gym/data=!4m7!3m6!1s0x2e69c4ec14306243:0x8acb6ee89166f975!8m2!3d-6.5721841!4d106.754176!16s%2Fg%2F11c6czb8j7!19sChIJQ2IwFOzEaS4Rdflmkehuy4o?authuser=0&hl=id&rclk=1","Galuga Gym","4,6","(90)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoRTlWKp83StLKJzWmdPBzbLNh_fPa4rl0xRK-OQ6C2tP68FvMO1-iKdYT65ZLsazE-IGYf9GKFEyBJphbhbkB0SJ9yh7GojcfYey7xooRpJV4iWElroB7IGJBT5gqGoBcNdgD=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","dengan suasana yang santai, orang-orangnya baik baik.""","","Jl. KH. R. Abdullah Bin Nuh, RT.03/RW.01"
"https://www.google.com/maps/place/Anytime+Fitness+Lippo+Keboen+Raya+Bogor/data=!4m7!3m6!1s0x2e69c56a5065af55:0x6b5a0819309bde9b!8m2!3d-6.5954758!4d106.8055779!16s%2Fg%2F11vr5mxtl8!19sChIJVa9lUGrFaS4Rm96bMBkIWms?authuser=0&hl=id&rclk=1","Anytime Fitness Lippo Keboen Raya Bogor","4,7","(159)","Tempat Fitness","·","Lippo Keboen Raya, Jl. Malabar 2 No.17A Lantai 1, RT.03/RW.08","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2X18_9Pc_JoYqtjSt10ppXq31FE4a14hws66_efuGwueFDHx16vhTmESth7LWdcewCG836Rwhj3mgYh6ROclLTYZo5hIhJECHpdnCf8-GGapXcVfx_xcw9eUEkV0HU0ograY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rapih, bersih,","gym","24 jam, akses tengah kota dekat kemanapun.""","",""
"https://www.google.com/maps/place/Fitquest+Fitness+Center/data=!4m7!3m6!1s0x2e69c3006c6aba83:0x5d6a6a8290eabb27!8m2!3d-6.5352378!4d106.7860544!16s%2Fg%2F11vqfxnw5_!19sChIJg7pqbADDaS4RJ7vqkIJqal0?authuser=0&hl=id&rclk=1","Fitquest Fitness Center","4,9","(75)","Tempat Fitness","·","·","Segera tutup","· 21.30 · Buka Sel pukul 05.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBYlEtNL8i2CMwWMI75s73wF2IhUd0EdllR4qYiQ6rCuXwmSIPhdmjC2M3qtuKBqF0ALoqy5t1h6MYdfVYWn5g3qol0l3euiAGU3BtwEPISTQI5AL-zJLkUJs3pS01ooyiB-hD8A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya yaman dan bersih, suka deh nge","gym","disini""","","Blok Ka1 no 12a, Bukit Cimanggu City Jl. Kencana Residence, RT.03/RW.09"
"https://www.google.com/maps/place/FIT+HUB+Siliwangi+Bogor/data=!4m7!3m6!1s0x2e69c51ae2809e3f:0xd462eb7f44c34be5!8m2!3d-6.621947!4d106.8165307!16s%2Fg%2F11t84snn5g!19sChIJP56A4hrFaS4R5UvDRH_rYtQ?authuser=0&hl=id&rclk=1","FIT HUB Siliwangi Bogor","4,5","(318)","Pusat kebugaran","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFldbi9W5rX-mvtJCcZaGY56ioh7nifQMMC4YFfZ6NBJhKiNf5N9qHfG2WgYJIirKJoF-8Id2wQvknvcS51p8ElqhudE7WJjCCg50HwLDWIpXlIarSbdGZ_AFvR3wj03reysSu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... terbatas, kayaknya maksimal 15-20 orang udah penuh di area","gym",".""","","Jl. Siliwangi No.66, RT.5/RW.04"
"https://www.google.com/maps/place/Legacy+Muaythai+Legacy+Fitness/data=!4m7!3m6!1s0x2e69c47f126867b1:0x9524d4350c94fcbc!8m2!3d-6.5485607!4d106.7744054!16s%2Fg%2F11cjkq3xyn!19sChIJsWdoEn_EaS4RvPyUDDXUJJU?authuser=0&hl=id&rclk=1","Legacy Muaythai Legacy Fitness","4,7","(308)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFakP0yyqnJilomC5Nw4FrMZvrAICuLtXHnAAkm604gpnI7hZI91UepNF7l7iL26EpScKwZQO8bOs5D2i_KeRL3BkzbeaKIjqoEluGMwbxaOcB-G3vivoS5jfUAWWCYyP8hlrML=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","bersih,","","Jl. Sholeh Iskandar No.31, RT.01/RW.04"
"https://www.google.com/maps/place/Tetap+Bugar+Gym/data=!4m7!3m6!1s0x2e69c4c443778e57:0xf07eeb266b0a1d62!8m2!3d-6.5754899!4d106.739595!16s%2Fg%2F11wg81hb5w!19sChIJV453Q8TEaS4RYh0KaybrfvA?authuser=0&hl=id&rclk=1","Tetap Bugar Gym","4,3","(3)","Tempat Fitness","·","Jl. Pasar Dramaga No.3, RT.12/RW.04","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JX6ROqOWg0DEt1JsOk3_uQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=102.65956&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau tanya bang berapa harga nya perbulan??""","","","",""
"https://www.google.com/maps/place/Why+Gym+Bogor/data=!4m7!3m6!1s0x2e69c518feb12cf3:0x109db582e6044ab4!8m2!3d-6.5675078!4d106.8015229!16s%2Fg%2F11x268_y0h!19sChIJ8yyx_hjFaS4RtEoE5oK1nRA?authuser=0&hl=id&rclk=1","Why Gym Bogor","4,9","(125)","Pusat kebugaran","·","Jl. Heulang Jl. Dadali No.01-04, RT.04/RW.05","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQGM0LZ1NQqStw6EMUeJ5iKjpl61pdI0z0LFh3t6KlQP8iPwYGiHE8Xbf0xS3KozQz2b5UF8INBSI6V63heWSW0yaNOjRfiPkADbmy7aMqYZjAKKg61-gMq26bpvn-TPI31gIBbDuPtoY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","rapi, bersih, good staff, and worth every penny!""","",""
"https://www.google.com/maps/place/Fit+For+Two+Fitness+Center/data=!4m7!3m6!1s0x2e69c4778b293a01:0x6e5aacbb038583b7!8m2!3d-6.547862!4d106.7825653!16s%2Fg%2F11g6vjtzx6!19sChIJATopi3fEaS4Rt4OFA7usWm4?authuser=0&hl=id&rclk=1","Fit For Two Fitness Center","4,3","(102)","Tempat Fitness","·","Blok, Jl. Bukit Cimanggu Blok M3 No.5, RT.01/RW.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcxh2YVS3u_IK_1wcU87HEpLEzVQN1gHM-mvwpSYIjnOJsMn907POFEUT62gTf3FhR9N1W4nGr6LMN_Jk9qIt7t8jiQb2aEJOaAKuuY3cjdttXQXXvtZyLFiXToi2JadjvKPBE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","langganan, bisa untuk sewa acara nikah dan lainnya juga.""","",""
